Timestamp,Title,Theme,Summary,last_price,return,volatility,next_day_price
2020-07-27,"Emerging and Growth Markets, July 25th 2020",Frontiers Blog,A weekly roundup of key news affecting emerging and growth markets from the Wall Street Journal and beyond.,2.643,0.03121342177136155,0.0349686888805915,2.68
2020-07-29,Total Takes $8 Billion Write-Down on Weak Oil Outlook,Earnings,"The French energy giant is reducing the value of its Canadian oil-sand assets and LNG assets in Australia, citing higher costs and lower demand.",2.675,-0.001865671641791189,0.034979755459494465,2.7
2020-07-30,Shell Swings to Historic Loss as Pandemic Devastates Oil Demand,Earnings,"Royal Dutch Shell swung to a heavy loss in the second quarter and warned that the outlook for oil-and-gas demand continued to be uncertain, illustrating the scale of the damage Covid-19 is wreaking on the industry.",2.7,0.009345794392523477,0.03497103057685171,2.7
2020-08-20,Islamist Attacks in Mozambique Threaten to Disrupt Total-Led Natural-Gas Project,Logistics Report,"Fighting between Islamic extremist rebels and Mozambique’s army over a key port is threatening to disrupt the East African nation’s burgeoning natural-gas developments, including a multibillion-dollar project led by French energy giant Total.",4.125,-0.0119760479041916,0.03576910056763345,3.979
2020-08-21,Today’s Logistics Report: Fighting for a Port; Strife on Docks; Accelerating Technology,WSJ Logistics Report,Today’s Top Supply Chain & Logistics News.,3.979,-0.03539393939393942,0.03583269329894821,3.85
2020-08-21,"Natural Gas Prices Are on Fire, but Producers Are Holding Back",Commodities,"Natural gas prices have shot up 66% since late June, and speculators are betting they will keep climbing. But the companies that control the country’s spigots aren’t so sure.",3.979,-0.03539393939393942,0.03583269329894821,3.85
2020-08-21,Coronavirus Further Complicates Shell’s Giant Floating Gas Project,Business,Shell spent billions of dollars developing a floating gas terminal five football fields long. The pandemic is posing a new problem: How to get workers safely back on site to start it back up.,3.979,-0.03539393939393942,0.03583269329894821,3.85
2020-08-24,Blackstone Nets $5 Billion From Cheniere Stake Sale,Pro PE Exits,Blackstone Group is selling a stake in liquefied natural gas exporter Cheniere Energy Partners to Brookfield Asset Management’s infrastructure arm in a deal that will provide Blackstone’s energy investing group with a gain of roughly $5 billion.,3.85,-0.03242020608193008,0.03588896281337991,3.85
2020-08-26,U.S.’s Fuel-Making Corridor Prepares for Hurricane Laura,U.S.,"Refineries, petrochemical facilities and ports along the Gulf Coast were closing as the hurricane strengthened to a Category 4 storm with 140-mile-an-hour winds barreling toward the Texas-Louisiana border.",3.908,0.015064935064935003,0.03588195031046361,4.058
2020-08-27,America’s Energy Corridor Narrowly Averts Direct Hit From Laura,Business,"Hurricane Laura appeared to narrowly miss the heart of America’s fuel-making and chemicals infrastructure along the Gulf Coast, where companies and officials were assessing damage Thursday morning.",4.058,0.038382804503582335,0.03592018210301284,4.226
2020-08-31,Natural-Gas Prices Turn Lower,Gas Markets,Prices of natural gas were dragged down by cooler-than-expected weather and reduced demand for gas-powered cooling as the end of summer approaches.,4.294,0.016090866067203002,0.03602642937181589,4.294
2020-09-09,"NBA Bubble Works for Actors and Utility Workers, Too",Business,There are lessons in the successes of quarantine bubbles like the NBA’s that could shape how some companies ramp back up as U.S. coronavirus cases continue to climb.,4.613,0.0,0.03580198601459411,4.55
2020-09-11,The New Geopolitics of Energy,The Saturday Essay,Power is shifting from longtime oil giants like Russia and Saudi Arabia to innovators like China—and maybe the U.S.,4.55,0.0,0.035807341250512825,4.55
2020-09-16,U.S. Gas Exporters Eye Europe’s Surging Prices,Commodities,"Natural-gas prices have surged in Europe, offering good news for exporters that invested in infrastructure for shipping it over the past decade, only to contend with a collapse in sales when the pandemic struck.",4.792,0.053186813186813175,0.03522396907995224,4.812
2020-09-25,PE Daily: SEC Scrutinizes SPACs | Alaska Permanent Fund’s Stock Boost | Hastings’s Co-Investment Pool,Pro PE Newsletter,"This year, investors, including a number of private-equity folks, have been forming blank-check companies at breakneck speed. All the frenzy has attracted regulatory attention, as Dave Michaels and Alexander Osipovich reported yesterday for The Wall Street Journal. Comments by SEC Chairman Jay Clayton sparked a sharp, albeit temporary, selloff in SPAC shares yesterday. Specifically, Mr. Clayton said his agency is focused on the incentives and compensation for SPAC sponsors. We’ll see if his comments throw any cold water on this year’s SPAC fire.",4.938,0.0028432168968317573,0.0330710128556547,5.074
2020-09-28,"CFTC Nominee Traded Stocks, Options While in Government",Financial Regulation,President Trump’s nominee to the agency that regulates the vast derivatives market traded extensively in stocks and options during his more than three years in government.,5.074,0.027541514783313126,0.03309842116226682,5.198
2020-09-30,"Shell to Cut Up to 9,000 Jobs",Business,"Royal Dutch Shell said it would cut up to 9,000 jobs in a broad restructuring, as the energy giant grapples with the ongoing fallout of the pandemic.",5.163,-0.00673335898422478,0.03312942881472188,5.163
2020-09-30,Oil Giant Total Pledges Renewable Power Push,Business,"Total SA pledged to ramp up its spending on renewable energy and reduce its dependence on petroleum, the latest move by a major oil company toward cleaner power.",5.163,-0.00673335898422478,0.03312942881472188,5.163
2020-10-01,Pandemic Pain Persists for Big Oil Companies,Business,Major oil companies signaled they remain under extreme financial pressure and oil prices slid Thursday as demand for fossil fuels rebounds slowly after being crushed by the coronavirus pandemic.,5.163,0.0,0.0331293081836688,5.113
2020-10-08,Russia’s Siberian Waters See Record Ship Traffic as Ice Melt Accelerates,Logistics Report,"The Arctic has gone through its warmest summer on record, and with the ice melting, more ships than ever are sailing along Russia’s Siberian coast, underscoring its role as a growing energy transport corridor and potential as a new ocean trade route.",5.388,0.0192962542565267,0.033133539337460265,5.535
2020-10-29,"Shell Tries to Woo Investors With Dividend Raise, Promise of Future Payouts",Business,"Shell reported a small profit, raised its dividend and said it planned to increase shareholder payouts, offering an upbeat assessment of its ability to weather the pandemic-inspired demand shock that has kept oil prices weak.",7.176,-0.016851623510069857,0.03375062555979882,6.937
2020-11-03,French Power Company Drops U.S. LNG Deal,Business,Engie’s decision to halt negotiations with LNG exporter NextDecade follows reports of pressure from the French government over methane concerns.,6.535,-0.03897058823529409,0.03386978974264116,6.628
2020-11-04,Cold Weather Thaws Natural-Gas Prices,Commodities,Winter’s approach and a lot of working from home have lifted natural-gas prices to more than double their summer lows.,6.628,0.014231063504207997,0.0338799842528513,6.679
2020-11-19,Natural Gas Heads Into Winter Looking Bloated,Heard on the Street,"Oil is the commodity with a cartel, but in the U.S., natural-gas producers are the ones showing cartel-like discipline this year. That firmness will be key as the country enters the winter with high levels of natural gas in storage.",6.401,-0.012038894891186924,0.033157255659638896,6.225
2020-11-26,U.K.’s Centrica Seeks to Sell Liquefied Natural Gas Portfolio,Gas Markets,"The energy supplier is trying to sell its portfolio of LNG supply contracts and other assets, according to people familiar with the matter, as it seeks to simplify its operations amid volatile LNG prices.",7.138,0.001965188096574977,0.033688558156659255,7.518
2020-12-09,"Natural Gas, Propane Are Early Winners in Quest for Clean Ship Fuels",Logistics Report,Natural gas and propane are emerging as the leading choices for fuel sources to power vessels for shipping companies moving to slash carbon emissions in their operations.,9.175,0.02927978460848113,0.034280584811590235,10.046
2020-12-21,Shell Signals Another Poor Quarter for Oil Majors,Business,"Shell said it would write down the value of its assets by up to $4.5 billion and warned of another set of poor earnings for the fourth quarter, showing how the oil-and-gas industry continues to struggle amid the fallout of the pandemic.",11.402,0.026097912167026616,0.03614781067247741,11.567
2020-12-24,"Gas Is Cleaner Than Oil, But It Still Has a Transition Problem",Heard on the Street,"As a relatively clean fossil fuel, natural gas will play a useful role for years to come. It is less certain that it will be a profitable one.",11.811,0.020388768898488285,0.03600014234296325,12.514
2021-01-08,Opinion: Biden’s First Fracking Test,Review & Outlook,Will he allow a proposed port for LNG to go through as planned?,21.453,0.036126539483216646,0.03842031603875076,28.221
2021-01-11,Cold Snap Sparks Record Rise in Natural Gas Prices in Asia,U.S.,"A blast of cold weather in northeast Asia and a shortage of ships for transporting gas have sparked a scramble for cargoes of liquefied natural gas, igniting a steep rise in prices.",28.221,0.3154803523982661,0.0430725714608457,32.494
2021-01-11,"Emerging and Growth Markets, January 9th 2021",Frontiers Blog,A weekly roundup of key news affecting emerging and growth markets from the Wall Street Journal and beyond.,28.221,0.3154803523982661,0.0430725714608457,32.494
2021-01-15,Australia Considers Outback Quarantine Camps,World,"Aggressive quarantine programs have kept the coronavirus at bay in Australia, but as contagious new Covid-19 strains threaten that success, one leader wants to house returned travelers far from cities, in Outback camps where temperatures can top 100 degrees.",26.99,-0.16953846153846164,0.045393046877374915,9.626
2021-01-15,Record Liquefied Natural Gas Prices in Asia Won’t Last,Heard on the Street,"A cold snap and a supply crunch have created a perfect storm for liquefied natural gas prices in Asia, but investors in the sector should be aware that the pendulum is likely to swing the other way soon.",26.99,-0.16953846153846164,0.045393046877374915,9.626
2021-01-21,Opinion: Biden Would Be Right to Ban LNG Terminal,Letters,"Blocking this project from moving forward should, indeed, be an easy call.",8.975,-0.0018905693950179714,0.06035407763718722,8.875
2021-01-28,Ship Operators Seek Calmer U.S. Trade Waters Under Biden,Shipping Matters,"Carrier executives say sanctions, trade turmoil under Trump undercut planning and fueled uncertainty in maritime operations.",8.477,-0.01624695369618201,0.06038790692836051,8.756
2021-01-28,Opinion: Insurance Rates Show LNG Shipment Is Safe,Letters,Claiming that LNG poses an unreasonable safety risk is wrong—nothing could be further from the truth.,8.477,-0.01624695369618201,0.06038790692836051,8.756
2021-01-29,Opinion: Will Biden Choose Paris Over Bismarck and Pierre?,Commentary,"To hold his climate vows, he’ll have to downsize the fossil fuels industry aggressively—costing jobs.",8.756,0.0329125870001179,0.06038529813983315,8.738
2021-02-01,Wintry Weather Lifts Natural-Gas Prices,Gas Markets,"Natural-gas futures are 57% higher than a year ago, when the weather was uncommonly warm, yet still about 15% below the price to start this heating season.",8.738,-0.0020557332115122007,0.06033309468058445,8.45
2021-02-10,Americans Heating Outdoor Spaces Have Fired Up Propane Prices,Business,"Propane prices have risen more than 70% this winter thanks to an explosion in patio heating and booming exports to Asia. Prices are up more than fourfold from the March bottom, when cold-weather outdoor dining hadn’t been contemplated.",7.05,-0.025704809286898778,0.06012578228476062,6.9
2021-02-11,"Shell Hits Its Own Peak Oil, Plans to Reduce Output",Earnings,"The company said it would start reducing oil production, calling an end to a decades-old strategy centered on pumping more hydrocarbons as it and other energy giants seek to capitalize on a shift to low-carbon power.",6.9,-0.02127659574468077,0.06014946767348987,6.9
2021-02-12,Oil Industry’s Dash for Gas Comes With Risks,Heard on the Street,"There are early signs of a new wave of investment in liquefied natural gas, oil’s cleaner cousin. The industry is trumpeting a new capital discipline, but it might not be enough to stop another glut.",,,,
2021-02-15,Opinion: A Deep Green Freeze,Review & Outlook,Power shortages show the folly of eliminating natural gas—and coal.,6.9,0.0,0.06014946767348987,6.349
2021-02-15,Oil Prices Rally as Cold Blast Hits Texas,Oil Markets,Frigid temperatures across swaths of the country injected new momentum into the rally in energy markets in part by threatening oil-and-gas production in Texas.,6.9,0.0,0.06014946767348987,6.349
2021-02-16,Don’t Blame Wind for Texas Electricity Woes,Heard on the Street,Renewable energy and market design are easy targets during electricity failures but they are inadequate explanations.,6.349,-0.0798550724637681,0.060373937209842694,6.35
2021-02-16,Opinion: Texas Cold’Em: Power Outages Are Political,Business World,Neither the blackouts nor their fixes teach anything useful about climate risks.,6.349,-0.0798550724637681,0.060373937209842694,6.35
2021-02-18,U.S. Natural Gas Shortage Hampers Blackout Recovery,Gas Markets,Frozen oil and gas wells and pipeline infrastructure have reduced the fuel available to power plants as companies seek to restore electricity to millions this week.,6.288,-0.009763779527558913,0.060331340326931146,6.45
2021-02-23,PE Daily: A New Enforcement Era for PE | K1 Bets on Atera Networks | Boyu Capital’s Singapore Shift,Pro PE Industry News,"The U.S. crossed a sobering threshold in the coronavirus pandemic yesterday, surpassing 500,000 deaths, even as the nation continues to roll out vaccinations against the virus.",6.275,-0.011811023622047112,0.06032640218301973,6.075
2021-03-05,China’s Pursuit of Natural Gas Jolts Markets and Drains Neighbors,Gas Markets,Beijing’s quest to run the world’s second-largest economy on cleaner energy is reshaping global trade in the fossil fuel.,5.825,0.04110813226094745,0.06029872715133539,5.925
2021-03-10,India’s Top Shipping Company Set to Kick Off Privatization Push,Logistics Report,"At least five maritime operators are in talks with the Indian government to buy a majority stake in the country’s biggest shipping company, which could be among the first public entities to be sold in the country’s biggest ever privatization drive.",6.05,0.0033167495854062867,0.06014296707808884,6.418
2021-03-25,Energy Industry Grapples With Fallout From Suez Canal Blockage,Business,"The fallout from the Suez Canal blockage rippled through the energy industry, with the cost of renting tankers rising and shippers starting to plot alternative routes for supplies of oil and gas.",6.863,-0.008809936452917388,0.060213528006284045,6.813
2021-03-26,Suez Canal Blockage Sends Exporters Scrambling,Business,"Asian and European manufacturers, which rely heavily on the Suez Canal to move their products between regions, are weighing contingency plans as efforts to move a ship drag out.",6.813,-0.007285443683520465,0.06001640338108349,6.813
2021-03-26,"Amid Islamist Siege in Mozambique, Energy Giant Scrambles to Evacuate",Africa,Total and international contractors were moving staff from a $20 billion natural-gas project.,6.813,-0.007285443683520465,0.06001640338108349,6.813
2021-04-08,Opinion: Reject Nord Stream 2 Once and for All,Commentary,The pipeline puts Ukraine’s national security at serious risk.,7.35,0.0034129692832762792,0.05924167329649607,7.35
2021-04-22,Ship Operators Move Toward LNG to Pare Emissions,Logistics Report,Natural gas-powered vessels are becoming more popular as a halfway measure as a search continues for non-carbon-based fuels.,8.705,0.005312391731146615,0.058897034991483965,8.55
2021-04-23,How to Add Gas to U.S.-China Climate Cooperation,Heard on the Street,"Both the U.S. and China want to capture the renewable energy market, but on gas there is a clearer—and rare, these days—alignment of interests.",8.55,-0.01780585870189544,0.05889375643355237,8.3
2021-04-30,Opinion: Alaska’s Energy Industry Is as Clean as It Gets,Cross Country,Biden’s climate plan will kill American jobs and enrich dirty producers in China and Russia.,9.262,0.04596273291925468,0.05888696938610125,9.457
2021-05-04,U.S. LNG Club Could Get More Exclusive,Heard on the Street,"Healthy demand growth should help U.S. LNG exporters such as Cheniere Energy, but supply additions from global giants will make it difficult for new projects to break through.",9.513,0.005921539600296066,0.058884782592795885,9.413
2021-05-12,Opinion: The Jones Act Strikes Again,Review & Outlook,"Biden considers another waiver, but the real answer is to sink it.",10.1,0.010000000000000009,0.0584111058592308,10.2
2021-05-28,Pro Bankruptcy Briefing: Manhattan Firm’s Liquidators Say Lawyer Short $17 Million in Client Funds,Pro Bankruptcy Newsletter,Liquidators say the collapse of real-estate law firm Kossoff PLLC destroyed livelihoods and left a trail of unpaid creditors behind. The liquidating trustee sifting through the defunct firm warned of a difficult case ahead.,10.313,-0.017622404267479408,0.05805471498643825,10.585
2021-06-09,Opinion: America’s Energy Gift to Dictators,Review & Outlook,"China, Russia and Iran will exploit the U.S. retreat on fossil fuels.",11.982,0.02568053415511029,0.05813155376177603,12.115
2021-06-15,Joe Biden's Retreat From Oil and Gas,PODCAST,"The Biden Administration suspends drilling leases in Alaska's Arctic National Wildlife Refuge, as the Keystone XL pipeline is finally canceled. Plus, Kamala Harris's trip to Guatemala, where she says, ""if you come to our border, you will be turned back.""",12.125,0.0041407867494824835,0.058091488353080104,11.734
2021-06-23,"Melting Ice Pits Russia Against U.S., China for Control of Shipping Route",Russia,"The Kremlin is close to realizing its controversial plans for a global shipping route in its high north—plans that have put Moscow at odds with the U.S. and could create friction with China, two countries that also have designs on the Arctic.",12.461,0.010214835832995428,0.05802859522362022,12.74
2021-07-13,Record Natural Gas Prices Give Power Markets a Jolt,Gas Markets,"A scramble for natural gas is creating pockets of scarcity in the global market, boosting prices for the fuel and for the electricity generated by burning it.",13.288,-0.022078304386223047,0.059205859414255206,13.338
2021-07-19,Santos Has Proposal to Acquire Oil Search Rejected,Business,The deal would have brought together two Australia-listed companies to create $16 billion energy producer.,14.262,0.021560060167609807,0.05901064028820332,14.315
2021-08-12,"Frackers, Shippers Eye Natural-Gas Leaks as Climate Change Concerns Mount",Business,The top U.S. gas producer and exporter have teamed up to track the emissions from wells that feed major shipping terminals amid growing pressure from investors and customers.,17.155,0.009830468566046635,0.05885060045654857,16.95
2021-08-13,Shale Pioneer Chesapeake Touts Natural Gas Again,Business,"The company has agreed to purchase Vine Energy, positioning itself for the export market six months after exiting bankruptcy.",16.95,-0.011949868842903055,0.0587687129139512,17.715
2021-08-27,A Fledgling Natural-Gas Exporter Has Become a Meme Stock,Business,"Charif Souki, a pioneer of America’s shale-gas shipping industry, is connecting with young, internet-savvy investors who have taken an interest in his fledgling company",18.069,0.058213762811127445,0.059134564753748786,18.675
2021-09-10,Natural-Gas Market Conditions Look Unnatural,Heard on the Street,"Storage levels of the fuel look rather thin globally, while prices have surged. A cold winter in parts of the world could send prices even higher.",20.518,0.006178893683797648,0.05921129529966343,21.828
2021-09-13,Energy Prices in Europe Hit Records After Wind Stops Blowing,Markets,A sudden slowdown in wind-driven electricity production off the coast of the U.K. in recent weeks whipsawed through regional energy markets.,21.828,0.06384637878935573,0.059311613243951226,23.185
2021-09-15,Opinion: The Jones Act Ties the Hands of American Industry,Letters,The law hands an edge to imports.,25.075,0.08151822298900147,0.05951539708274271,25.95
2021-09-17,"Natural-Gas Prices Surge, and Winter Is Still Months Away",Commodities,The jump in prices is prompting worries about winter shortages and forecasts for the most expensive fuel since frackers flooded the market.,25.083,-0.03341040462427747,0.05959279243780217,26.441
2021-09-20,America’s Next Hot Import Might Be Record Energy Prices,Heard on the Street,"Natural-gas, coal and electricity prices are all running abnormally high, far too early.",26.441,0.0541402543555396,0.05965764124773546,28.538
2021-09-22,Russia’s New Gas Pipeline to Germany Delivers More Power to Moscow,Heard on the Street,A cold winter might force European regulators to speed up the approval process for the controversial Nord Stream 2 pipeline now running between Russia and Germany.,27.266,-0.044572149414815354,0.05990409028335161,26.36
2021-09-22,"Europe Pumps Less Gas as Demand Rebounds, With Russia Filling the Gap",Europe,"Natural-gas supply shortfalls have led to record prices for the fuel and for electricity, leading to fears of a shortage and spotlighting European efforts to slash greenhouse-gas emissions.",27.266,-0.044572149414815354,0.05990409028335161,26.36
2021-09-30,Gas Markets Will Get Even More Exciting,Heard on the Street,"The cleaner-burning fuel is at the heart of the energy transition, but its price volatility is likely to only get worse.",34.47,0.0889274996051177,0.060676070756722725,33.845
2021-09-30,Opinion: Biden’s Energy Price Shock,Review & Outlook,His policies are already contributing to global oil supply shortages.,34.47,0.0889274996051177,0.060676070756722725,33.845
2021-10-01,Winter Is Coming. Should the U.S. Hang On to Its Natural Gas?,Heard on the Street,Rising natural gas prices could put pressure on politicians to limit exports—but curbs have the potential to backfire.,33.845,-0.01813170873223091,0.060689365246456774,34.986
2021-10-07,Winter Forecast Is Cold Comfort for Natural-Gas Consumers,Heard on the Street,A closely watched forecast shows that the coming winter will be manageable for the U.S. natural-gas markets. That may not be enough to take the air out of natural-gas prices.,35.604,-0.3678940453786884,0.0705940905064263,38.414
2021-10-07,Natural-Gas Shortage Sets Off Scramble Ahead of Winter,Commodities,"The resurgence in demand from economies bouncing back from the pandemic and other factors caught traders, shipowners and energy executives off guard.",35.604,-0.3678940453786884,0.0705940905064263,38.414
2021-10-08,Ireland Paves the Way for a Global Tax Deal,PODCAST,"A.M. Edition for Oct. 8. WSJ's Paul Hannon explains why the last major holdout has agreed to raise its corporate tax rate and what that means for a global deal. Tesla moves its headquarters from California to Texas. Plus, journalists Maria Ressa and Dmitry Muratov win this year's Nobel Peace Prize for their efforts to safeguard freedom of expression. And agricultural economist Andrew Novakovic explains why retail cheese prices are on the rise. Peter Granitz hosts.",38.414,0.07892371643635543,0.07071724191923132,35.21
2021-10-08,Shippers of Natural Gas Divert Tankers to Highest Bidder,PODCAST,"As global gas prices continue to soar, WSJ What's News host Peter Granitz and WSJ columnist Rochelle Toplensky explore what this means for countries looking to buy gas and why some are now turning oil and coal plants back on.",38.414,0.07892371643635543,0.07071724191923132,35.21
2021-10-08,An SEC Rule Was Meant to Protect Individual Investors. Chaos Ensued.,The Intelligent Investor,Thousands of stocks and bonds in the over-the-counter market are now out of reach for small investors. Professionals are still trading.,38.414,0.07892371643635543,0.07071724191923132,35.21
2021-10-12,Big Energy Companies’ New Pitch: ‘Carbon-Neutral’ Oil and Gas,Sustainable Business,"Some energy companies are selling oil and gas bundled with carbon offsets and marketing the products as carbon neutral, but critics say the practice could undermine the case for burning less fossil fuel.",34.002,-0.03430843510366366,0.07101985702329486,35.546
2021-10-13,Is Carbon Capture Undermining the Case for Fewer Emissions?,PODCAST,"A.M. Edition for Oct. 13. As big energy companies tout 'carbon-neutral' oil and gas, WSJ's Dieter Holger discusses what this means for efforts to burn less fossil fuel. The U.S. will open its land borders for nonessential travel by vaccinated people. Plus, Social Security is set to rise the most in 40 years in a bid to combat the impact of soaring inflation. And WSJ's Alex Frangos weighs in on the third-quarter earnings season. Peter Granitz hosts.",35.546,0.045409093582730264,0.07105094481042563,37.706
2021-10-13,Russia Shows Its Growing Sway Over Global Energy Markets,Russia,"Russia, the world’s largest exporter of gas in the world and the source of more than a third of Europe’s gas, has emerged as a critical supplier with the power to quickly alleviate the continent’s gas deficit.",35.546,0.045409093582730264,0.07105094481042563,37.706
2021-10-13,Does Carbon Capture Undermine Efforts for Fewer Emissions?,PODCAST,"Big energy companies are touting 'carbon-neutral' oil and gas, but sceptics say there is no such thing. WSJ What's News host Peter Granitz and WSJ's Dieter Holger discuss what carbon capture means for efforts to burn less fossil fuel.",35.546,0.045409093582730264,0.07105094481042563,37.706
2021-10-15,Some Investors Say Bank Pledges on Arctic Drilling Contain Loopholes,Finance,Controversy over the funding of Arctic oil-and-gas drilling comes as world leaders and top financiers prepare to gather for the United Nations climate conference on curbing carbon emissions.,36.598,-0.029385243727788835,0.07042201955313801,36.09
2021-10-22,Natural Gas Prices Drop From Recent Peak,Commodities,"Natural-gas prices have shed 19% since hitting a 13-year high earlier this month, reversing some of a run-up that has prompted fears of exorbitant heating bills and higher manufacturing costs at a time of already high prices.",33.642,-0.020326150262085063,0.07041086350842429,34.139
2021-10-26,PE Daily: Silver Lake Returns With a New Megafund | Shakeup at Blackstone’s Hedge-Fund Business | BV Investment Partners to Buy Outsourcing Company,Pro PE Newsletter,"Even given the tech-buyout giants’ history of pushing the fundraising envelope, the latest effort from Silver Lake may come as a surprise.",34.232,0.002724157122352633,0.07039423296432773,33.123
2021-11-02,"China Binges on U.S. Gas to Manage Energy Shortage, Carbon Footprint",Gas Markets,"Record U.S. liquefied natural gas exports to China today are in contrast to just a couple of years ago, after the country imposed tariffs on U.S. LNG during the trade war.",26.225,-0.07982456140350869,0.07079404774878763,28.152
2021-11-02,"Democrats, Republicans Watch Bellwether Vote in Virginia",PODCAST,A.M. Edition for Nov. 2. Numerous elections get under way in the U.S. today. But one vote is seen as a national bellwether for how midterms will pan out - the race for governor in Virginia. WSJ's Aaron Zitner lays out the issues at stake and what the two candidates stand for. Peter Granitz hosts.,26.225,-0.07982456140350869,0.07079404774878763,28.152
2021-11-02,China Binges on U.S. Gas,PODCAST,China is buying more liquified natural gas from the U.S. than ever before. The Wall Street Journal's Quentin Webb tells WSJ What's News host Peter Granitz what's driving the surge in demand and what this means for gas prices.,26.225,-0.07982456140350869,0.07079404774878763,28.152
