Timestamp,Title,Theme,Summary
2024-02-07,"Biden Gets Easy Win in Nevada, but Progressives’ Backing Falters",PODCAST,"A.M. Edition for Feb. 7. Nikki Haley suffers an embarrassing defeat in Nevada’s primary while Biden scores—though the WSJ’s Tarini Parti says cracks are beginning to emerge between the president and progressives, threatening his chances of re-election. Plus, a surplus of new housing is driving down rents–but only for the wealthiest renters. And, ESPN, Fox and Warner strike a streaming deal that will reshape the sports landscape. Luke Vargas hosts."
2024-02-07,"Woodside, Santos End Talks on Merger to Create $57 Billion Energy Giant",Business,The companies spent two months discussing a merger that aimed to capitalize on the rising demand for natural gas resulting from the war in Ukraine.
2024-02-05,Opinion: Biden Goes Soft on Nicolás Maduro,Commentary,"Venezuela’s dictator promised a free election, then banned his leading opponent."
2024-02-04,Opinion: Biden’s Worst Energy Decision,Review & Outlook,His LNG export permit ban looks worse the more you examine it.
2024-02-02,U.S. Begins Strikes Against Iran-Backed Groups in Syria and Iraq,PODCAST,"P.M. Edition for Feb. 2. The U.S. began a series of airstrikes against Iranian-backed militias in Syria and Iraq in an effort to deter more attacks against American forces in the region. And the January jobs report soars past expectations. Reporter Eric Wallerstein has more. Plus, Georgia prosecutor Fani Willis admits to a relationship with a top deputy, but denies any wrongdoing in the election-interference case against Donald Trump. Annmarie Fertoli hosts."
2024-02-02,U.S. Begins Strikes Against Iran-Backed Groups in Syria and Iraq,PODCAST,"P.M. Edition for Feb. 2. The U.S. began a series of airstrikes against Iranian-backed militias in Syria and Iraq in an effort to deter more attacks against American forces in the region. And the January jobs report soars past expectations. Reporter Eric Wallerstein has more. Plus, Georgia prosecutor Fani Willis admits to a relationship with a top deputy, but denies any wrongdoing in the election-interference case against Donald Trump. Annmarie Fertoli hosts."
2024-02-02,Oil Profits Keep Flowing for Exxon and Chevron,Earnings,"U.S. giants join Shell in posting strong earnings, but face an uncertain outlook as countries vow to phase out fossil fuels."
2024-02-01,"Biden Gas-Export Decision: Smoke, but No Fire",Heard on the Street,"With so many permitted projects struggling to secure contracts, pausing LNG approvals was an easy, low-stakes political win."
2024-02-01,Shell Launches Buyback as Earnings Beat Forecasts,Earnings,"Shell’s adjusted earnings beat forecast, driven by higher trading gains from LNG, and said it would buy back $3.5 billion in shares this quarter."
2024-01-31,A New Solution for CO2 Emissions: Bury Them at Sea,The Future of Everything,Ship operators have designed a vessel to transport supercooled carbon and pump it into offshore wells for permanent storage.
2024-01-30,Opinion: Biden’s LNG Export Pause Can’t Be Justified,Letters,Sen. Merkley’s attempt insults the intelligence of the average voter.
2024-01-29,Opinion: I’ll Fight Back Against Biden’s LNG Pause,Commentary,I plan to block every State and Energy department nominee until he relents.
2024-01-28,Opinion: More LNG Infrastructure Won’t Help Ukraine,Letters,"If the fossil-fuel industry wants to help, it should throw its support behind the president’s request to provide necessary arms."
2024-01-28,WSJ Opinion: Abortion Is the Answer for Biden-Harris,VIDEO,Journal Editorial Report: Democrats plan to run everywhere on abortion rights. Images: Shutterstock/Bloomberg News Composite: Mark Kelly
2024-01-26,Opinion: Biden’s LNG ‘Pause’ Will Hurt the Environment,Commentary,"When the U.S. exports liquefied natural gas, it’s better for America’s allies and the climate."
2024-01-26,Opinion: Biden and the TikTok Anti-LNG Crusade,Review & Outlook,His ‘pause’ on export permits may be his most destructive climate act—damaging to the economy at home and U.S. influence abroad.
2024-01-26,Biden Pauses Approvals for LNG Exports,Politics,A decision to review the impacts of exports of U.S. liquefied natural gas delivered a victory for environmental groups.
2024-01-26,Working From Home Could Up Your Risk of Being Laid Off,PODCAST,"A.M. Edition for Jan. 26. New data shows that fully remote employees are more likely to be let go than their peers. Plus, President Biden hits pause on new approvals for natural gas exports in a win for environmental groups. And WSJ reporter Nick Kostov details increasing competition in the luxury goods industry as shoppers pull back from their post-pandemic splurges. Luke Vargas hosts."
2024-01-26,Biden Pauses Approvals for LNG Exports,PODCAST,Plus: New data shows that fully remote employees are more likely to be let go than their peers. And WSJ reporter Evan Gershkovich has his detention in Russia extended. Luke Vargas hosts.
2024-01-26,Working From Home Could Up Your Risk of Being Laid Off,PODCAST,"A.M. Edition for Jan. 26. New data shows that fully remote employees are more likely to be let go  than their peers. Plus, President Biden hits pause on new approvals for natural gas exports in a win for environmental groups. And WSJ reporter Nick Kostov details increasing competition in the luxury goods industry as shoppers pull back from their post-pandemic splurges. Luke Vargas hosts."
2024-01-25,Joe Biden's Dilemma on Natural Gas Exports,PODCAST,"The White House is stalling efforts to export more American liquefied natural gas (LNG) to U.S. allies. Given that LNG development is good for the economy, as well as for weaning Europe off of Russian energy, is this a political mistake for Biden, little more than a gesture to climate activists, akin to the controversy that killed the Keystone XL Pipeline?"
2024-01-24,Opinion: An LNG Export Ban Is Bad Politics for Biden,Commentary,His efforts to appease environmentalists could harm the economy and U.S. national security.
2024-01-24,Some Private-Equity Firms Stick With Natural Gas Despite Climate Concerns,Pro PE Commentary Analysis,Energy-focused investment firms are betting on rising U.S. natural-gas exports even as activists and some lawmakers push back.
2024-01-23,Houthi Attacks Won’t Threaten Global Natural-Gas Security,Heard on the Street,Energy markets look very different than in 2022.
2024-01-22,Opinion: Biden Toys With an LNG Export Permitting Ban,Review & Outlook,How to hurt allies and the U.S. economy to please the climate-change lobby.
2024-01-16,Natural-Gas Prices Remain Under Pressure Despite Cold Snap,Heard on the Street,"Robust production, full storage and delays in LNG capacity additions all point toward a year of mild natural-gas prices."
2024-01-15,"Houthis Turn Their Sights on U.S. Ships, Vow to Keep Attacking Red Sea Targets",Middle East,A U.S.-owned bulk carrier was struck and a Navy destroyer was targeted as attacks become more widespread and indiscriminate.
2024-01-12,America’s Gas Bonanza Brings Biden New Political Dilemmas,Business,The president is facing pressure from some Democrats and climate groups to rein in exports of liquefied natural gas.
2024-01-11,"Chesapeake, Southwestern Agree to Merge to Create Gas Giant",PODCAST,"P.M. Edition for Jan. 11. Chesapeake Energy and Southwestern Energy officially announce plans to merge, amid lots of dealmaking in the energy sector. Reporter Benoît Morenne explains. Plus, Treasury Department reporter Andrew Duehren explains why the U.S. is reviewing a deal between U.S. Steel and Nippon Steel. And, how Wall Street is responding to the first day of trading spot bitcoin ETFs. Annmarie Fertoli hosts."
2024-01-11,"Chesapeake, Southwestern Agree to Merge to Create Gas Giant",PODCAST,"P.M. Edition for Jan. 11. Chesapeake Energy and Southwestern Energy officially announce plans to merge, amid lots of dealmaking in the energy sector. Reporter Benoît Morenne explains. Plus, Treasury Department reporter Andrew Duehren explains why the U.S. is reviewing a deal between U.S. Steel and Nippon Steel. And, how Wall Street is responding to the first day of tradi ng spot bitcoin ETFs. Annmarie Fertoli hosts."
2024-01-11,Blockbuster Natural-Gas Merger Is Almost Too Perfect,Heard on the Street,"The Chesapeake-Southwestern merger is very promising, if it can clear regulatory scrutiny."
2024-01-11,"Chesapeake, Southwestern to Merge as New Gas Behemoth",Business,The $7.4 billion all-stock transaction will create one of the U.S.’s largest natural-gas producers and is the latest in a flurry of energy deals.
2024-01-09,How ESG Became a Dirty Word in Corporate America,PODCAST,"P.M. Edition for Jan. 9. Businesses are making a conscious effort to avoid using the acronym ESG to highlight their environmental, social and governance initiatives. WSJ workplace, management and leadership reporter Chip Cutter explains what’s behind the shift. And Boeing’s CEO says the company needs to acknowledge “our mistake,” after a door-plug failure on an Alaska Airlines flight. Plus, Meta puts tighter restrictions on teen accounts on Instagram and Facebook. Annmarie Fertoli hosts."
2024-01-09,How ESG Became a Dirty Word in Corporate America,PODCAST,"P.M. Edition for Jan. 9. Businesses are making a conscious effort to avoid using the acronym ESG to highlight their environmental, social and governance initiatives. WSJ workplace, management and leadership reporter Chip Cutter explains what’s behind the shift. And Boeing’s CEO says the company needs to acknowledge “our mistake,” after a door-plug failure on an Alaska Airlines flight. Plus, Meta puts tighter restrictions on teen accounts on Instagram and Facebook. Annmarie Fertoli hosts."
2024-01-09,America Has Plenty of Natural Gas. So Why Is New England Left Out in the Cold?,Gas Markets,Threatened closure of a Massachusetts import facility sparks worry about the Northeast’s energy supplies.
2024-01-08,Shell Flags Impairment Hit of up to $4.5 Billion,Europe,"Shell said its fourth-quarter earnings took a hit of up to $4.5 billion in impairments that were offset by significantly higher gas trading, while its overall production volumes are on track to meet targets."
2024-01-05,"Southwestern, Chesapeake Near $17 Billion Energy Merger",Deals,Southwestern Energy and Chesapeake Energy are close to a merger that would create a roughly $17 billion company and one of the largest U.S. natural-gas producers.
2024-01-01,Shale Is Keeping the World Awash With Oil as Conflicts Abound,Oil Markets,"The shipping crisis in the Red Sea is expected to raise consumer prices. But it has had little impact on energy prices, largely because of surging supplies from U.S. frackers."
2023-12-20,"Charif Souki, Godfather of American LNG Industry, Is Ousted from Tellurian",Business,Gas-export company’s abrupt termination of its co-founder caps his flamboyant career in energy.
2023-12-20,Houthi Rebels Vow to Retaliate as U.S.-Led Force Deploys for Middle East,Business,"Natural-gas and crude markets rose, but ample global supplies of the two fuels are keeping the advance in check."
2023-12-19,Gaza Is Making Oil and Gas Markets Twitchier,Heard on the Street,Attacks on ships in the Red Sea are a reminder that the war between Israel and Hamas might yet have global repercussions for energy
2023-12-14,House Approves Biden Impeachment Inquiry,PODCAST,"A.M. Edition for Dec. 14. In a party-line vote, the U.S. House has authorized an impeachment probe of President Biden, adding muscle to an investigation into whether the president had ties to his son’s overseas business dealings. Plus, WSJ finance editor Alex Frangos explains how the Fed's projection of three interest-rate cuts next year is driving down global borrowing costs. And EU leaders grapple over new funding for Ukraine. Luke Vargas hosts."
2023-12-14,Will the End of Fossil Fuels Spoil the Lucky Country’s Streak?,Heard on the Street,Australia’s moniker has often proved apt in part because of its plentiful natural resources. It is also uniquely vulnerable to climate change. Would a fossil-fuel-free world save it or destroy it?
2023-12-14,House Approves Biden Impeachment Inquiry,PODCAST,"A.M. Edition for Dec. 14. In a party-line vote, the U.S. House has authorized an impeachment probe of President Biden, adding muscle to an investigation into whether the president had ties to his son’s overseas business dealings. Plus, WSJ finance editor Alex Frangos explains how the Fed's projection of three interest-rate cuts next year is driving down global borrowing costs. And EU leaders grapple over new funding for Ukraine. Luke Vargas hosts."
2023-12-11,BP Asks U.S. Regulator to Intervene in Gas Feud,Business,Venture Global is being accused of skirting disclosure rules while maintaining “a veil of secrecy around its operations” to the detriment of some customers.
2023-12-08,"Charif Souki, Who Transformed U.S. Energy, Removed as Tellurian’s Chairman",Business,The natural gas pioneer’s latest energy venture has been floundering for years.
2023-12-07,"Woodside Energy, Santos in Talks to Create Global Energy Giant",Business,The Australian companies said a merger could result in a new global company worth around $52 billion.
2023-12-06,Europe’s Gas Prices Could Fall Further Next Year,Gas Markets,"European natural-gas prices are expected to decline further next year amid lackluster demand and above-average inventories despite a cold start to the winter, some analysts say."
2023-12-06,U.S. Gas Startup at Center of Epic Feud With Global Energy Giants,Business,"Venture Global is becoming one of the world’s biggest natural-gas exporters. Shell, BP and others say it got there by reneging on their contracts."
2023-12-04,Brookfield-Led Consortium’s $11 Billion Bid for Origin Energy Fails,Business,"An $11 billion bid for Origin Energy, one of Australia’s largest power companies, was rejected by its shareholders on Monday in a stark illustration of how investors are adopting different strategies to bet on the energy transition."
2023-12-01,The World’s Key Canal Is Clogged Up. Winter Fuel Prices Could Get Wacky.,Heard on the Street,"Climate change could make your winter heating bills more unpredictable, particularly if you live at the end of long and vulnerable fuel supply chains."
2023-11-29,EIG Global Energy Partners Expects New LNG Acquisition Within Months,Business,The U.S. investment firm wants to increase exposure to the Atlantic Basin gas market.
2023-11-29,Brookfield’s Origin Saga Shows It’s Hard to Price Polluters — Analysis,Pro PE Commentary Analysis,At the heart of a nearly US$11 billion takeover tussle for the owner of several Australian coal-fired power plants is a key question for investors: how to value a major polluter that could also become a big enabler of the energy transition.
2023-11-08,Qatar Pursues Oil Deal After Brokering End to Venezuela Sanctions,Business,A Qatari magnate wants to restart an oil refinery near Venezuela’s coast after the wealthy Gulf state helped mediate talks between Caracas and the U.S.
2023-10-18,"Renewables Reminiscent of Shale Boom, Kimmeridge Leader Says",Pro PE Industry News,"Private-equity firm Kimmeridge Energy Management is biding its time to expand investing in renewables while making big bets on oil and natural gas, a strategy reflecting co-founder Ben Dell’s not-so-mainstream views."
2023-10-13,The Oil Price Has a Safety Valve. Gas Doesn’t.,Heard on the Street,"Even though oil flows are more likely to be disrupted by the tense situation in the Middle East, natural gas prices could be more volatile."
2023-10-09,Israel Orders Chevron to Shut Down Gas Platform Near Gaza,Business,The move amounts to a safety precaution amid the deadly conflict that erupted over the weekend.
2023-10-07,Cruise Lines Pursue Greener Journeys Ahead of New Climate Rules,Business,"As tourists flock to ships and strain port cities, regulators and environmental groups are pushing companies to invest in cleaner tech."
2023-10-06,Chevron Labor Dispute Flares Up Again in Australia,Business,"Workers at two natural-gas facilities operated by Chevron in Australia have voted to restart industrial action, reigniting a dispute that has rattled global energy markets."
2023-10-02,China Is Gaining Long-Coveted Role in Arctic,World,"Isolated over Ukraine invasion, Russia seeks Beijing’s help as it ships more oil east through polar routes"
2023-09-22,Microsoft-Activision Deal Clears Final Regulatory Hurdle,PODCAST,"A.M. Edition for Sept. 22. U.K. regulators said today that Microsoft’s revised $75 billion takeover plan resolved most of its antitrust concerns, setting up the deal to move forward a s soon as next month. Plus, House Republicans split on next steps for funding the government as a shutdown looms. And WSJ reporter Sebastian Herrera explains how Amazon is wrestling with competition  from rivals Temu and Shein. Luke Vargas hosts. Correction: The U.K.’s Competition and Markets Authority will be consulting markets on Microsoft’s proposed restructured deal with Activision until Oct. 6. An earlier version of this podcast incorrectly said Oct. 8. (Corrected on Sept. 22)"
2023-09-22,Microsoft-Activision Deal Clears Final Regulatory Hurdle,PODCAST,"A.M. Edition for Sept. 22. U.K. regulators said today that Microsoft’s revised $75 billion takeover plan resolved most of its antitrust concerns, setting up the deal to move forward a s soon as next month. Plus, House Republicans split on next steps for funding the government as a shutdown looms. And WSJ reporter Sebastian Herrera explains how Amazon is wrestling with competition  from rivals Temu and Shein. Luke Vargas hosts. Correction: The U.K.’s Competition and Markets Authority will be consulting markets on Microsoft’s proposed restructured deal with Activision until Oct. 6. An earlier version of this podcast incorrectly said Oct. 8. (Corrected on Sept. 22)"
2023-09-19,The Unexpected New Winners in the Global Energy War,World,Western nations are forging unusual alliances to replace natural gas from Russia. “We pushed the accelerator to the maximum.”
2023-09-08,Chevron Workers Begin Industrial Action at Australian LNG Plants,Business,The company’s Gorgon and Wheatstone facilities account for about 7% of global liquefied-natural-gas supply.
2023-09-08,Natural Gas Prices Spike as Aussie Labor Talks Fail,PODCAST,"A.M. Edition for Sept. 8. Gas futures jumped this morning after news that workers at some of the world’s largest LNG plants in Australia are going on strike. Plus, U.S. home prices pick up after falling for five straight months. And WSJ reporter Rory Jones explains how sovereign wealth funds in the Gulf have rapidly grown in stature to effectively become the world’s ATM. Luke Vargas hosts."
2023-09-08,Natural Gas Prices Spike as Aussie Labor Talks Fail,PODCAST,"A.M. Edition for Sept. 8. Gas futures jumped this morning after news that workers at some of the world’s largest LNG plants in Australia are going on strike. Plus, U.S. home prices pick up after falling for five straight months. And WSJ reporter Rory Jones explains how sovereign wealth funds in the Gulf have rapidly grown in stature to effectively become the world’s ATM. Luke Vargas hosts."
2023-09-06,"Africa’s Vast Solar and Mineral Resources at Risk of Being Left Untapped, IEA Warns",Sustainable Business,High costs have put off most investors from buying into the continent’s plentiful clean-energy reserves.
2023-08-30,‘From Black Gold to Frozen Gas’ Review: A Natural Gas Powerhouse,Bookshelf,The discovery of natural gas off the shores of Qatar has transformed this inhospitable Persian Gulf peninsula into a major geopolitical player.
2023-08-29,Germany’s Stalling Economy Raises Global Alarm,PODCAST,"A.M. Edition for Aug. 29. Florida braces for the first major hurricane of the season as storm Idalia bears down on the Gulf Coast. Plus, Bojan Pancevski on how Germany’s stagnating economy could spell trouble for global growth. And 3M settles up with veterans who alleged its earplugs caused hearing loss. Luke Vargas hosts."
2023-08-29,Germany’s Stalling Economy Raises Global Alarm,PODCAST,"A.M. Edition for Aug. 29. Florida braces for the first major hurricane of the season as storm Idalia bears down on the Gulf Coast. Plus, Bojan Pancevski on how Germany’s stagnating economy could spell trouble for global growth. And 3M settles up with veterans who alleged its earplugs caused hearing loss. Luke Vargas hosts."
2023-08-28,"Chevron Workers in Australia Set Date for Work Bans, Stoppages",Business,"The walkout threats bring concerns of a sudden drop in liquefied natural gas exports, disruptions to global gas supplies."
2023-08-24,Natural Gas Prices Slide After Labor Dispute at Major Exporter Is Curtailed,card,
2023-08-24,GOP Debaters Spare Trump in First 2024 Faceoff,PODCAST,"A.M. Edition for Aug. 24. Eight Republican candidates for president largely avoided criticism of absent former President Donald Trump in the primary season’s inaugural debate last night. WSJ national political reporter Eliza Collins explains who managed to stand out from the pack. Plus, China and Russia take on the West by expanding the Brics coalition. And relief for global energy markets as Australia's Woodside Energy diffuses a looming labor dispute. Luke Vargas hosts."
2023-08-24,GOP Debaters Spare Trump in First 2024 Faceoff,PODCAST,"A.M. Edition for Aug. 24. Eight Republican candidates for president largely avoided criticism of absent former President Donald Trump in the primary season’s inaugural debate last night. WSJ national political reporter Eliza Collins explains who managed to stand out from the pack. Plus, China and Russia take on the West by expanding the Brics coalition. And relief for global energy markets as Australia's Woodside Energy diffuses a looming labor dispute. Luke Vargas hosts."
2023-08-24,Woodside Heads Off Australian Labor Dispute Roiling Gas Markets,Asia,Threat of walkouts at liquefied natural gas plants run by Woodside had raised concerns about global supplies ahead of the Northern Hemisphere winter.
2023-08-21,Europe’s Gas-Guzzling Days Are Fading,Heard on the Street,"In a reality check for natural-gas producers, volatile prices are prompting European homes and factories to go green faster than expected."
2023-08-17,EU Is Set to Hit Winter Gas-Storage Targets Months Early,Europe,"Despite the buildup, the bloc’s energy security remains fragile after Russia cut supplies over the Ukraine war."
2023-08-10,Natural-Gas Prices Jolted by Australian Labor Dispute,Commodities,"Most of Australia’s supply is committed to Asia, so a sudden drop in LNG exports could push European and Asian buyers into a bidding war for gas from elsewhere, including from the U.S."
2023-08-10,Natural-Gas Prices Pause Climb After Strike Threat,card,
2023-07-30,America’s Military Trails Russia and China in Race for the Melting Arctic,U.S.,"The U.S. is competing with a partnership between the two countries but has fewer icebreakers and ports, and less experience. This article is part of a series examining the problems confronting America’s military."
2023-07-28,"Natural Gas Pioneer Puts Investment Vehicle Into Bankruptcy to Protect Ranch, Other Assets",Pro Bankruptcy,"Charif Souki put Strudel Holdings into chapter 11 to have an “orderly” sale of its assets, including an 813-acre luxury ranch in Colorado."
2023-07-27,Shell’s Shrinking Profit Still Fills Investors’ Pockets,Heard on the Street,Earnings at Europe’s biggest oil company fell 56% in its latest quarter. Energy prices would need to halve to potentially stem the flow of payouts.
2023-07-27,EU Launches Antitrust Probe Over Microsoft Teams,PODCAST,A.M. Edition for July 27. The European Commission is investigating whether Microsoft is abusing its dominant position by bundling its Teams videoconferencing app with its popular Office productivity software. Plus U.S. officials are telling allies in Asia that a new Alaskan natural gas pipeline could deliver them energy security. So why aren’t they lining up to back it? Journal reporter River Davis explains. And how a coup in Niger could threaten a key bulwark against terrorism. Luke Vargas hosts.
2023-07-27,EU Launches Antitrust Probe Over Microsoft Teams,PODCAST,A.M. Edition for July 27. The European Commission is investigating whether Microsoft is abusing its dominant position by bundling its Teams videoconferencing app with its popular Office productivity software. Plus U.S. officials are telling allies in Asia that a new Alaskan natural gas pipeline could deliver them energy security. So why aren’t they lining up to back it? Journal reporter River Davis explains. And how a coup in Niger could threaten a key bulwark against terrorism. Luke Vargas hosts.
2023-07-27,"Weaker Energy Prices Temper Shell’s Profit, but Not Cash Payouts for Investors",Earnings,The oil major boosted its dividend and added a $3 billion buyback in its first quarterly results release since its new CEO unveiled a strategic shift.
2023-07-25,U.S. Allies in Asia Snub Natural Gas From Alaska Project,Asia,Potential buyers are concerned about the lack of major investment commitments by big U.S. energy companies in the $44 billion project.
2023-07-21,America’s Rise as Energy Export Powerhouse Hinges on One Town,Commodities,"Pipelines to Corpus Christi, Texas, are near capacity as U.S. oil production approaches records."
2023-07-20,Why This Heat Isn’t Cranking Up Your Gas Bill,Gas Markets,"With a glut from the warm winter, the power-generation fuel costs 60% less than last summer."
2023-07-11,Japan Accuses Australia of Betrayal in Fight Over Natural-Gas Exports,World,"The two U.S. allies, normally close, are trading barbs after Canberra clamped down on carbon emissions."
2023-07-10,Gov. Doug Burgum's Run for President,PODCAST,"On this episode of the Potomac Watch podcast, Paul Gigot speaks with North Dakota Governor and 2024 GOP Presidential candidate Doug Burgum about how energy policy failures led to the war in Ukraine, why a flat tax would make sense for Washington, if sanctions should continue on Russian oil, and why a Jan. 6 riot would not happen during a Burgum administration."
2023-06-28,Cheaper Natural-Gas Prices in Store This Summer,Gas Markets,The fuel’s price has rallied but is much lower than a year ago.
2023-06-27,Australia Put a Lid on Rising Energy Prices. Some Warn It Was a Mistake.,Gas Markets,"Lawmakers say an experiment with price controls has helped consumers, but natural-gas producers argue it is stifling investment."
2023-06-11,CEO Takes Shell’s Pitch Direct to Wall Street,Business,Wael Sawan signals openness to more oil production in an effort to woo investors.
2023-05-26,"Texas, a Clean-Energy Pioneer, Turns Against Renewables",Business,"The state welcomed wind and solar power for years, fueling rapid growth. Now Republicans want a rollback."
2023-05-24,Sudden Energy-Price Collapse Brings Economic Boon,Gas Markets,"After skyrocketing last year due to the Ukraine war, natural-gas prices are in retreat around the world. But the outlook isn’t entirely positive, as the drop is also a symptom of slowing activity."
2023-05-10,Executive’s Russian Ties Cause Stir at Italian Energy Company,Europe,"The nomination of Paolo Scaroni, an energy-industry veteran and ally of former Italian prime minister Silvio Berlusconi, drew sharp criticism because of his history of close business dealings with Russia."
2023-05-08,Shell and BP’s Hidden Spark,Heard on the Street,"The European companies’ energy traders generate huge profits, but investors are mostly in the dark."
2023-05-07,Good News for Your Utility Bills: Gas Producers Keep Drilling,Commodities,Continued flow of natural gas should ease electricity costs but it is risky for companies.
