Timestamp,Title,Theme,Summary
"February 8, 2024 05:19 pm ET","Special Counsel Says Biden Knowingly Kept, Shared Classified Documents",PODCAST,"P.M. Edition for Feb. 8. Special counsel Robert Hur concluded President Biden was sloppy in holding on to classified material that he knowingly kept and shared while a private citizen. Biden will not face criminal charges. And the Supreme Court expresses skepticism over a challenge to Donald Trump’s ballot eligibility. Supreme Court correspondent Jess Bravin has more. Plus, energy reporter Benoît Morenne explains how billionaire donors including the Rockefellers swayed the White House on LNG exports. Annmarie Fertoli hosts."
"February 8, 2024 04:55 pm ET","Special Counsel Says Biden Knowingly Kept, Shared Classified Documents",PODCAST,"P.M. Edition for Feb. 8. Special counsel Robert Hur concluded President Biden was sloppy in holding on to classified material that he knowingly kept and shared while a private citizen. Biden will not face criminal charges. And the Supreme Court expresses skepticism over a challenge to Donald Trump’s ballot eligibility. Supreme Court correspondent Jess Bravin has more. Plus, energy reporter Benoît Morenne explains how billionaire donors including the Rockefellers swayed the White House on LNG exports. Annmarie Fertoli hosts."
"February 8, 2024 04:42 pm ET",Opinion: Special Counsel: Biden Too Forgetful to Prosecute,Best of the Web,The Justice Department mounts a defense of the president’s mishandling of classified information.
"February 8, 2024 02:23 pm ET",Opinion: Net Zero Becomes All Dissonance and No Cognition,Political Economics,Politicians have trapped themselves into waging a crusade voters say they want but won’t pay for.
"February 8, 2024 07:00 am ET",How the Rockefellers and Billionaire Donors Pressed Biden on LNG Exports,Gas Markets,The president’s decision to halt new export terminals follows a campaign by environmental groups funded by wealthy contributors.
"February 7, 2024 06:17 am ET","Biden Gets Easy Win in Nevada, but Progressives’ Backing Falters",PODCAST,"A.M. Edition for Feb. 7. Nikki Haley suffers an embarrassing defeat in Nevada’s primary while Biden scores—though the WSJ’s Tarini Parti says cracks are beginning to emerge between the president and progressives, threatening his chances of re-election. Plus, a surplus of new housing is driving down rents–but only for the wealthiest renters. And, ESPN, Fox and Warner strike a streaming deal that will reshape the sports landscape. Luke Vargas hosts."
"February 7, 2024 05:58 am ET",Biden Easily Wins Nevada Primary as Haley Suffers Symbolic Loss,PODCAST,"Plus: Merger talks that would have created a $57 billion natural gas giant fall apart. And ESPN, Fox and Warner strike a deal that will reshape sports streaming. Luke Vargas hosts."
"February 7, 2024 05:40 am ET","Biden Gets Easy Win in Nevada, but Progressives’ Backing Falters",PODCAST,"A.M. Edition for Feb. 7. Nikki Haley suffers an embarrassing defeat in Nevada’s primary while Biden scores—though the WSJ’s Tarini Parti says cracks are beginning to emerge between the president and progressives, threatening his chances of re-election. Plus, a surplus of new housing is driving down rents–but only for the wealthiest renters. And, ESPN, Fox and Warner strike a streaming deal that will reshape the sports landscape. Luke Vargas hosts."
"February 7, 2024 12:26 am ET","Woodside, Santos End Talks on Merger to Create $57 Billion Energy Giant",Business,The companies spent two months discussing a merger that aimed to capitalize on the rising demand for natural gas resulting from the war in Ukraine.
"February 5, 2024 05:54 pm ET",Opinion: Biden Goes Soft on Nicolás Maduro,Commentary,"Venezuela’s dictator promised a free election, then banned his leading opponent."
"February 4, 2024 05:33 pm ET",Opinion: Biden’s Worst Energy Decision,Review & Outlook,His LNG export permit ban looks worse the more you examine it.
"February 2, 2024 04:59 pm ET",U.S. Begins Strikes Against Iran-Backed Groups in Syria and Iraq,PODCAST,"P.M. Edition for Feb. 2. The U.S. began a series of airstrikes against Iranian-backed militias in Syria and Iraq in an effort to deter more attacks against American forces in the region. And the January jobs report soars past expectations. Reporter Eric Wallerstein has more. Plus, Georgia prosecutor Fani Willis admits to a relationship with a top deputy, but denies any wrongdoing in the election-interference case against Donald Trump. Annmarie Fertoli hosts."
"February 2, 2024 04:58 pm ET",U.S. Begins Strikes Against Iran-Backed Groups in Syria and Iraq,PODCAST,"P.M. Edition for Feb. 2. The U.S. began a series of airstrikes against Iranian-backed militias in Syria and Iraq in an effort to deter more attacks against American forces in the region. And the January jobs report soars past expectations. Reporter Eric Wallerstein has more. Plus, Georgia prosecutor Fani Willis admits to a relationship with a top deputy, but denies any wrongdoing in the election-interference case against Donald Trump. Annmarie Fertoli hosts."
"February 2, 2024 09:52 am ET",Oil Profits Keep Flowing for Exxon and Chevron,Earnings,"U.S. giants join Shell in posting strong earnings, but face an uncertain outlook as countries vow to phase out fossil fuels."
"February 1, 2024 07:00 am ET","Biden Gas-Export Decision: Smoke, but No Fire",Heard on the Street,"With so many permitted projects struggling to secure contracts, pausing LNG approvals was an easy, low-stakes political win."
"February 1, 2024 02:50 am ET",Shell Launches Buyback as Earnings Beat Forecasts,Earnings,"Shell’s adjusted earnings beat forecast, driven by higher trading gains from LNG, and said it would buy back $3.5 billion in shares this quarter."
"January 31, 2024 05:30 am ET",A New Solution for CO2 Emissions: Bury Them at Sea,The Future of Everything,Ship operators have designed a vessel to transport supercooled carbon and pump it into offshore wells for permanent storage.
"January 30, 2024 02:17 pm ET",Opinion: Biden’s LNG Export Pause Can’t Be Justified,Letters,Sen. Merkley’s attempt insults the intelligence of the average voter.
"January 29, 2024 06:09 pm ET",Opinion: I’ll Fight Back Against Biden’s LNG Pause,Commentary,I plan to block every State and Energy department nominee until he relents.
"January 28, 2024 12:20 pm ET",Opinion: More LNG Infrastructure Won’t Help Ukraine,Letters,"If the fossil-fuel industry wants to help, it should throw its support behind the president’s request to provide necessary arms."
"January 28, 2024 11:51 am ET",WSJ Opinion: Abortion Is the Answer for Biden-Harris,VIDEO,Journal Editorial Report: Democrats plan to run everywhere on abortion rights. Images: Shutterstock/Bloomberg News Composite: Mark Kelly
"January 26, 2024 06:02 pm ET",Opinion: Biden’s LNG ‘Pause’ Will Hurt the Environment,Commentary,"When the U.S. exports liquefied natural gas, it’s better for America’s allies and the climate."
"January 26, 2024 05:52 pm ET",Opinion: Biden and the TikTok Anti-LNG Crusade,Review & Outlook,His ‘pause’ on export permits may be his most destructive climate act—damaging to the economy at home and U.S. influence abroad.
"January 26, 2024 12:22 pm ET",Biden Pauses Approvals for LNG Exports,Politics,A decision to review the impacts of exports of U.S. liquefied natural gas delivered a victory for environmental groups.
"January 26, 2024 08:45 am ET",Working From Home Could Up Your Risk of Being Laid Off,PODCAST,"A.M. Edition for Jan. 26. New data shows that fully remote employees are more likely to be let go than their peers. Plus, President Biden hits pause on new approvals for natural gas exports in a win for environmental groups. And WSJ reporter Nick Kostov details increasing competition in the luxury goods industry as shoppers pull back from their post-pandemic splurges. Luke Vargas hosts."
"January 26, 2024 06:34 am ET",Biden Pauses Approvals for LNG Exports,PODCAST,Plus: New data shows that fully remote employees are more likely to be let go than their peers. And WSJ reporter Evan Gershkovich has his detention in Russia extended. Luke Vargas hosts.
"January 26, 2024 06:19 am ET",Working From Home Could Up Your Risk of Being Laid Off,PODCAST,"A.M. Edition for Jan. 26. New data shows that fully remote employees are more likely to be let go  than their peers. Plus, President Biden hits pause on new approvals for natural gas exports in a win for environmental groups. And WSJ reporter Nick Kostov details increasing competition in the luxury goods industry as shoppers pull back from their post-pandemic splurges. Luke Vargas hosts."
"January 25, 2024 05:17 pm ET",Joe Biden's Dilemma on Natural Gas Exports,PODCAST,"The White House is stalling efforts to export more American liquefied natural gas (LNG) to U.S. allies. Given that LNG development is good for the economy, as well as for weaning Europe off of Russian energy, is this a political mistake for Biden, little more than a gesture to climate activists, akin to the controversy that killed the Keystone XL Pipeline?"
"January 24, 2024 06:01 pm ET",Opinion: An LNG Export Ban Is Bad Politics for Biden,Commentary,His efforts to appease environmentalists could harm the economy and U.S. national security.
"January 24, 2024 06:00 am ET",Some Private-Equity Firms Stick With Natural Gas Despite Climate Concerns,Pro PE Commentary Analysis,Energy-focused investment firms are betting on rising U.S. natural-gas exports even as activists and some lawmakers push back.
"January 23, 2024 05:58 am ET",Houthi Attacks Won’t Threaten Global Natural-Gas Security,Heard on the Street,Energy markets look very different than in 2022.
"January 22, 2024 06:31 pm ET",Opinion: Biden Toys With an LNG Export Permitting Ban,Review & Outlook,How to hurt allies and the U.S. economy to please the climate-change lobby.
"January 16, 2024 07:00 am ET",Natural-Gas Prices Remain Under Pressure Despite Cold Snap,Heard on the Street,"Robust production, full storage and delays in LNG capacity additions all point toward a year of mild natural-gas prices."
"January 15, 2024 07:24 pm ET","Houthis Turn Their Sights on U.S. Ships, Vow to Keep Attacking Red Sea Targets",Middle East,A U.S.-owned bulk carrier was struck and a Navy destroyer was targeted as attacks become more widespread and indiscriminate.
"January 12, 2024 05:30 am ET",America’s Gas Bonanza Brings Biden New Political Dilemmas,Business,The president is facing pressure from some Democrats and climate groups to rein in exports of liquefied natural gas.
"January 11, 2024 05:12 pm ET","Chesapeake, Southwestern Agree to Merge to Create Gas Giant",PODCAST,"P.M. Edition for Jan. 11. Chesapeake Energy and Southwestern Energy officially announce plans to merge, amid lots of dealmaking in the energy sector. Reporter Benoît Morenne explains. Plus, Treasury Department reporter Andrew Duehren explains why the U.S. is reviewing a deal between U.S. Steel and Nippon Steel. And, how Wall Street is responding to the first day of trading spot bitcoin ETFs. Annmarie Fertoli hosts."
"January 11, 2024 05:10 pm ET","Chesapeake, Southwestern Agree to Merge to Create Gas Giant",PODCAST,"P.M. Edition for Jan. 11. Chesapeake Energy and Southwestern Energy officially announce plans to merge, amid lots of dealmaking in the energy sector. Reporter Benoît Morenne explains. Plus, Treasury Department reporter Andrew Duehren explains why the U.S. is reviewing a deal between U.S. Steel and Nippon Steel. And, how Wall Street is responding to the first day of tradi ng spot bitcoin ETFs. Annmarie Fertoli hosts."
"January 11, 2024 12:57 pm ET",Blockbuster Natural-Gas Merger Is Almost Too Perfect,Heard on the Street,"The Chesapeake-Southwestern merger is very promising, if it can clear regulatory scrutiny."
"January 11, 2024 10:20 am ET","Chesapeake, Southwestern to Merge as New Gas Behemoth",Business,The $7.4 billion all-stock transaction will create one of the U.S.’s largest natural-gas producers and is the latest in a flurry of energy deals.
"January 9, 2024 05:14 pm ET",How ESG Became a Dirty Word in Corporate America,PODCAST,"P.M. Edition for Jan. 9. Businesses are making a conscious effort to avoid using the acronym ESG to highlight their environmental, social and governance initiatives. WSJ workplace, management and leadership reporter Chip Cutter explains what’s behind the shift. And Boeing’s CEO says the company needs to acknowledge “our mistake,” after a door-plug failure on an Alaska Airlines flight. Plus, Meta puts tighter restrictions on teen accounts on Instagram and Facebook. Annmarie Fertoli hosts."
"January 9, 2024 05:12 pm ET",How ESG Became a Dirty Word in Corporate America,PODCAST,"P.M. Edition for Jan. 9. Businesses are making a conscious effort to avoid using the acronym ESG to highlight their environmental, social and governance initiatives. WSJ workplace, management and leadership reporter Chip Cutter explains what’s behind the shift. And Boeing’s CEO says the company needs to acknowledge “our mistake,” after a door-plug failure on an Alaska Airlines flight. Plus, Meta puts tighter restrictions on teen accounts on Instagram and Facebook. Annmarie Fertoli hosts."
"January 9, 2024 01:10 pm ET",America Has Plenty of Natural Gas. So Why Is New England Left Out in the Cold?,Gas Markets,Threatened closure of a Massachusetts import facility sparks worry about the Northeast’s energy supplies.
"January 8, 2024 05:44 am ET",Shell Flags Impairment Hit of up to $4.5 Billion,Europe,"Shell said its fourth-quarter earnings took a hit of up to $4.5 billion in impairments that were offset by significantly higher gas trading, while its overall production volumes are on track to meet targets."
"January 5, 2024 04:24 pm ET","Southwestern, Chesapeake Near $17 Billion Energy Merger",Deals,Southwestern Energy and Chesapeake Energy are close to a merger that would create a roughly $17 billion company and one of the largest U.S. natural-gas producers.
"January 1, 2024 12:05 am ET",Shale Is Keeping the World Awash With Oil as Conflicts Abound,Oil Markets,"The shipping crisis in the Red Sea is expected to raise consumer prices. But it has had little impact on energy prices, largely because of surging supplies from U.S. frackers."
"December 20, 2023 02:45 pm ET","Charif Souki, Godfather of American LNG Industry, Is Ousted from Tellurian",Business,Gas-export company’s abrupt termination of its co-founder caps his flamboyant career in energy.
"December 20, 2023 02:19 pm ET",Houthi Rebels Vow to Retaliate as U.S.-Led Force Deploys for Middle East,Business,"Natural-gas and crude markets rose, but ample global supplies of the two fuels are keeping the advance in check."
"December 19, 2023 06:44 am ET",Gaza Is Making Oil and Gas Markets Twitchier,Heard on the Street,Attacks on ships in the Red Sea are a reminder that the war between Israel and Hamas might yet have global repercussions for energy
"December 14, 2023 08:55 am ET",House Approves Biden Impeachment Inquiry,PODCAST,"A.M. Edition for Dec. 14. In a party-line vote, the U.S. House has authorized an impeachment probe of President Biden, adding muscle to an investigation into whether the president had ties to his son’s overseas business dealings. Plus, WSJ finance editor Alex Frangos explains how the Fed's projection of three interest-rate cuts next year is driving down global borrowing costs. And EU leaders grapple over new funding for Ukraine. Luke Vargas hosts."
"December 14, 2023 07:09 am ET",Will the End of Fossil Fuels Spoil the Lucky Country’s Streak?,Heard on the Street,Australia’s moniker has often proved apt in part because of its plentiful natural resources. It is also uniquely vulnerable to climate change. Would a fossil-fuel-free world save it or destroy it?
"December 14, 2023 06:39 am ET",House Approves Biden Impeachment Inquiry,PODCAST,"A.M. Edition for Dec. 14. In a party-line vote, the U.S. House has authorized an impeachment probe of President Biden, adding muscle to an investigation into whether the president had ties to his son’s overseas business dealings. Plus, WSJ finance editor Alex Frangos explains how the Fed's projection of three interest-rate cuts next year is driving down global borrowing costs. And EU leaders grapple over new funding for Ukraine. Luke Vargas hosts."
"December 11, 2023 05:35 pm ET",BP Asks U.S. Regulator to Intervene in Gas Feud,Business,Venture Global is being accused of skirting disclosure rules while maintaining “a veil of secrecy around its operations” to the detriment of some customers.
"December 8, 2023 07:19 pm ET","Charif Souki, Who Transformed U.S. Energy, Removed as Tellurian’s Chairman",Business,The natural gas pioneer’s latest energy venture has been floundering for years.
"December 7, 2023 06:34 am ET","Woodside Energy, Santos in Talks to Create Global Energy Giant",Business,The Australian companies said a merger could result in a new global company worth around $52 billion.
"December 6, 2023 11:59 am ET",Europe’s Gas Prices Could Fall Further Next Year,Gas Markets,"European natural-gas prices are expected to decline further next year amid lackluster demand and above-average inventories despite a cold start to the winter, some analysts say."
"December 6, 2023 12:10 am ET",U.S. Gas Startup at Center of Epic Feud With Global Energy Giants,Business,"Venture Global is becoming one of the world’s biggest natural-gas exporters. Shell, BP and others say it got there by reneging on their contracts."
"December 4, 2023 01:41 am ET",Brookfield-Led Consortium’s $11 Billion Bid for Origin Energy Fails,Business,"An $11 billion bid for Origin Energy, one of Australia’s largest power companies, was rejected by its shareholders on Monday in a stark illustration of how investors are adopting different strategies to bet on the energy transition."
"December 1, 2023 05:03 am ET",The World’s Key Canal Is Clogged Up. Winter Fuel Prices Could Get Wacky.,Heard on the Street,"Climate change could make your winter heating bills more unpredictable, particularly if you live at the end of long and vulnerable fuel supply chains."
"November 29, 2023 11:25 pm ET",EIG Global Energy Partners Expects New LNG Acquisition Within Months,Business,The U.S. investment firm wants to increase exposure to the Atlantic Basin gas market.
"November 29, 2023 12:36 am ET",Brookfield’s Origin Saga Shows It’s Hard to Price Polluters — Analysis,Pro PE Commentary Analysis,At the heart of a nearly US$11 billion takeover tussle for the owner of several Australian coal-fired power plants is a key question for investors: how to value a major polluter that could also become a big enabler of the energy transition.
"November 8, 2023 01:33 pm ET",Qatar Pursues Oil Deal After Brokering End to Venezuela Sanctions,Business,A Qatari magnate wants to restart an oil refinery near Venezuela’s coast after the wealthy Gulf state helped mediate talks between Caracas and the U.S.
"October 18, 2023 06:30 am ET","Renewables Reminiscent of Shale Boom, Kimmeridge Leader Says",Pro PE Industry News,"Private-equity firm Kimmeridge Energy Management is biding its time to expand investing in renewables while making big bets on oil and natural gas, a strategy reflecting co-founder Ben Dell’s not-so-mainstream views."
"October 13, 2023 07:35 am ET",The Oil Price Has a Safety Valve. Gas Doesn’t.,Heard on the Street,"Even though oil flows are more likely to be disrupted by the tense situation in the Middle East, natural gas prices could be more volatile."
"October 9, 2023 02:24 pm ET",Israel Orders Chevron to Shut Down Gas Platform Near Gaza,Business,The move amounts to a safety precaution amid the deadly conflict that erupted over the weekend.
"October 7, 2023 10:00 am ET",Cruise Lines Pursue Greener Journeys Ahead of New Climate Rules,Business,"As tourists flock to ships and strain port cities, regulators and environmental groups are pushing companies to invest in cleaner tech."
"October 6, 2023 07:15 am ET",Chevron Labor Dispute Flares Up Again in Australia,Business,"Workers at two natural-gas facilities operated by Chevron in Australia have voted to restart industrial action, reigniting a dispute that has rattled global energy markets."
"October 2, 2023 08:22 am ET",China Is Gaining Long-Coveted Role in Arctic,World,"Isolated over Ukraine invasion, Russia seeks Beijing’s help as it ships more oil east through polar routes"
"September 22, 2023 06:12 am ET",Microsoft-Activision Deal Clears Final Regulatory Hurdle,PODCAST,"A.M. Edition for Sept. 22. U.K. regulators said today that Microsoft’s revised $75 billion takeover plan resolved most of its antitrust concerns, setting up the deal to move forward a s soon as next month. Plus, House Republicans split on next steps for funding the government as a shutdown looms. And WSJ reporter Sebastian Herrera explains how Amazon is wrestling with competition  from rivals Temu and Shein. Luke Vargas hosts. Correction: The U.K.’s Competition and Markets Authority will be consulting markets on Microsoft’s proposed restructured deal with Activision until Oct. 6. An earlier version of this podcast incorrectly said Oct. 8. (Corrected on Sept. 22)"
"September 22, 2023 06:07 am ET",Microsoft-Activision Deal Clears Final Regulatory Hurdle,PODCAST,"A.M. Edition for Sept. 22. U.K. regulators said today that Microsoft’s revised $75 billion takeover plan resolved most of its antitrust concerns, setting up the deal to move forward a s soon as next month. Plus, House Republicans split on next steps for funding the government as a shutdown looms. And WSJ reporter Sebastian Herrera explains how Amazon is wrestling with competition  from rivals Temu and Shein. Luke Vargas hosts. Correction: The U.K.’s Competition and Markets Authority will be consulting markets on Microsoft’s proposed restructured deal with Activision until Oct. 6. An earlier version of this podcast incorrectly said Oct. 8. (Corrected on Sept. 22)"
"September 19, 2023 12:01 am ET",The Unexpected New Winners in the Global Energy War,World,Western nations are forging unusual alliances to replace natural gas from Russia. “We pushed the accelerator to the maximum.”
"September 8, 2023 07:29 am ET",Chevron Workers Begin Industrial Action at Australian LNG Plants,Business,The company’s Gorgon and Wheatstone facilities account for about 7% of global liquefied-natural-gas supply.
"September 8, 2023 06:28 am ET",Natural Gas Prices Spike as Aussie Labor Talks Fail,PODCAST,"A.M. Edition for Sept. 8. Gas futures jumped this morning after news that workers at some of the world’s largest LNG plants in Australia are going on strike. Plus, U.S. home prices pick up after falling for five straight months. And WSJ reporter Rory Jones explains how sovereign wealth funds in the Gulf have rapidly grown in stature to effectively become the world’s ATM. Luke Vargas hosts."
"September 8, 2023 05:59 am ET",Natural Gas Prices Spike as Aussie Labor Talks Fail,PODCAST,"A.M. Edition for Sept. 8. Gas futures jumped this morning after news that workers at some of the world’s largest LNG plants in Australia are going on strike. Plus, U.S. home prices pick up after falling for five straight months. And WSJ reporter Rory Jones explains how sovereign wealth funds in the Gulf have rapidly grown in stature to effectively become the world’s ATM. Luke Vargas hosts."
"September 6, 2023 11:13 am ET","Africa’s Vast Solar and Mineral Resources at Risk of Being Left Untapped, IEA Warns",Sustainable Business,High costs have put off most investors from buying into the continent’s plentiful clean-energy reserves.
"August 30, 2023 06:15 pm ET",‘From Black Gold to Frozen Gas’ Review: A Natural Gas Powerhouse,Bookshelf,The discovery of natural gas off the shores of Qatar has transformed this inhospitable Persian Gulf peninsula into a major geopolitical player.
"August 29, 2023 06:31 am ET",Germany’s Stalling Economy Raises Global Alarm,PODCAST,"A.M. Edition for Aug. 29. Florida braces for the first major hurricane of the season as storm Idalia bears down on the Gulf Coast. Plus, Bojan Pancevski on how Germany’s stagnating economy could spell trouble for global growth. And 3M settles up with veterans who alleged its earplugs caused hearing loss. Luke Vargas hosts."
"August 29, 2023 06:19 am ET",Germany’s Stalling Economy Raises Global Alarm,PODCAST,"A.M. Edition for Aug. 29. Florida braces for the first major hurricane of the season as storm Idalia bears down on the Gulf Coast. Plus, Bojan Pancevski on how Germany’s stagnating economy could spell trouble for global growth. And 3M settles up with veterans who alleged its earplugs caused hearing loss. Luke Vargas hosts."
"August 28, 2023 10:02 pm ET","Chevron Workers in Australia Set Date for Work Bans, Stoppages",Business,"The walkout threats bring concerns of a sudden drop in liquefied natural gas exports, disruptions to global gas supplies."
"August 24, 2023 10:44 am ET",Natural Gas Prices Slide After Labor Dispute at Major Exporter Is Curtailed,card,N/A
"August 24, 2023 06:39 am ET",GOP Debaters Spare Trump in First 2024 Faceoff,PODCAST,"A.M. Edition for Aug. 24. Eight Republican candidates for president largely avoided criticism of absent former President Donald Trump in the primary season’s inaugural debate last night. WSJ national political reporter Eliza Collins explains who managed to stand out from the pack. Plus, China and Russia take on the West by expanding the Brics coalition. And relief for global energy markets as Australia's Woodside Energy diffuses a looming labor dispute. Luke Vargas hosts."
"August 24, 2023 06:04 am ET",GOP Debaters Spare Trump in First 2024 Faceoff,PODCAST,"A.M. Edition for Aug. 24. Eight Republican candidates for president largely avoided criticism of absent former President Donald Trump in the primary season’s inaugural debate last night. WSJ national political reporter Eliza Collins explains who managed to stand out from the pack. Plus, China and Russia take on the West by expanding the Brics coalition. And relief for global energy markets as Australia's Woodside Energy diffuses a looming labor dispute. Luke Vargas hosts."
"August 24, 2023 05:52 am ET",Woodside Heads Off Australian Labor Dispute Roiling Gas Markets,Asia,Threat of walkouts at liquefied natural gas plants run by Woodside had raised concerns about global supplies ahead of the Northern Hemisphere winter.
"August 21, 2023 06:30 am ET",Europe’s Gas-Guzzling Days Are Fading,Heard on the Street,"In a reality check for natural-gas producers, volatile prices are prompting European homes and factories to go green faster than expected."
"August 17, 2023 10:43 am ET",EU Is Set to Hit Winter Gas-Storage Targets Months Early,Europe,"Despite the buildup, the bloc’s energy security remains fragile after Russia cut supplies over the Ukraine war."
"August 10, 2023 03:03 pm ET",Natural-Gas Prices Jolted by Australian Labor Dispute,Commodities,"Most of Australia’s supply is committed to Asia, so a sudden drop in LNG exports could push European and Asian buyers into a bidding war for gas from elsewhere, including from the U.S."
"August 10, 2023 09:57 am ET",Natural-Gas Prices Pause Climb After Strike Threat,card,N/A
"July 30, 2023 07:59 am ET",America’s Military Trails Russia and China in Race for the Melting Arctic,U.S.,"The U.S. is competing with a partnership between the two countries but has fewer icebreakers and ports, and less experience. This article is part of a series examining the problems confronting America’s military."
"July 28, 2023 09:06 pm ET","Natural Gas Pioneer Puts Investment Vehicle Into Bankruptcy to Protect Ranch, Other Assets",Pro Bankruptcy,"Charif Souki put Strudel Holdings into chapter 11 to have an “orderly” sale of its assets, including an 813-acre luxury ranch in Colorado."
"July 27, 2023 12:08 pm ET",Shell’s Shrinking Profit Still Fills Investors’ Pockets,Heard on the Street,Earnings at Europe’s biggest oil company fell 56% in its latest quarter. Energy prices would need to halve to potentially stem the flow of payouts.
"July 27, 2023 06:45 am ET",EU Launches Antitrust Probe Over Microsoft Teams,PODCAST,A.M. Edition for July 27. The European Commission is investigating whether Microsoft is abusing its dominant position by bundling its Teams videoconferencing app with its popular Office productivity software. Plus U.S. officials are telling allies in Asia that a new Alaskan natural gas pipeline could deliver them energy security. So why aren’t they lining up to back it? Journal reporter River Davis explains. And how a coup in Niger could threaten a key bulwark against terrorism. Luke Vargas hosts.
"July 27, 2023 06:32 am ET",EU Launches Antitrust Probe Over Microsoft Teams,PODCAST,A.M. Edition for July 27. The European Commission is investigating whether Microsoft is abusing its dominant position by bundling its Teams videoconferencing app with its popular Office productivity software. Plus U.S. officials are telling allies in Asia that a new Alaskan natural gas pipeline could deliver them energy security. So why aren’t they lining up to back it? Journal reporter River Davis explains. And how a coup in Niger could threaten a key bulwark against terrorism. Luke Vargas hosts.
"July 27, 2023 06:00 am ET","Weaker Energy Prices Temper Shell’s Profit, but Not Cash Payouts for Investors",Earnings,The oil major boosted its dividend and added a $3 billion buyback in its first quarterly results release since its new CEO unveiled a strategic shift.
