date,title,summary,price,vol_annual
2020-07-02,Shipowners Line up for Total’s Mozambique LNG Project,Some of the world’s biggest shipowners are lining up to move natural gas from Mozambique as French energy giant Total moves ahead with its $23 billion East Africa liquefaction project.,2.125,1.4614140585231523
2020-07-03,(1) China Is Unlikely to Meet Purchase Targets for U.S. Energy (2) Companies Cancel Atlantic Coast Pipeline After Years of Delays ,(1) Economic fallout from the coronavirus pandemic has cast doubt on whether China can meet its targets to buy U.S. goods under this year’s trade deal—with energy emerging as the biggest casualty. (2) Duke Energy and Dominion Energy are pulling the plug on the proposed $8 billion pipeline under the Appalachian Trail as companies continue to meet environmental opposition to new fossil fuel conduits in the U.S. ,2.125,1.4662180383306744
2020-07-07,The World Can’t Take Much More Shale Gas,"Natural-gas prices have bounced back from the 25-year low reached late last month, but analysts and traders don’t expect them to go much higher. At least until it is time to turn on the heat.",2.138,1.4758772927101376
2020-07-24,Shipyards’ Rebound Hopes Are Coming Up Empty,Orders for new oceangoing ships are at record lows as carriers sit on the sidelines amid faltering trade demand during the pandemic and uncertainty over future ship-power technology.,2.563,1.511709594082579
2020-07-27,"Emerging and Growth Markets, July 25th 2020",A weekly roundup of key news affecting emerging and growth markets from the Wall Street Journal and beyond.,2.643,1.5137016549450897
2020-07-29,Total Takes $8 Billion Write-Down on Weak Oil Outlook,"The French energy giant is reducing the value of its Canadian oil-sand assets and LNG assets in Australia, citing higher costs and lower demand.",2.675,1.5173457757503266
2020-07-30,Shell Swings to Historic Loss as Pandemic Devastates Oil Demand,"Royal Dutch Shell swung to a heavy loss in the second quarter and warned that the outlook for oil-and-gas demand continued to be uncertain, illustrating the scale of the damage Covid-19 is wreaking on the industry.",2.7,1.51912945683728
2020-08-20,Islamist Attacks in Mozambique Threaten to Disrupt Total-Led Natural-Gas Project,"Fighting between Islamic extremist rebels and Mozambique’s army over a key port is threatening to disrupt the East African nation’s burgeoning natural-gas developments, including a multibillion-dollar project led by French energy giant Total.",4.125,1.5220230151422676
2020-08-21,"(1) Today’s Logistics Report: Fighting for a Port; Strife on Docks; Accelerating Technology (2) Natural Gas Prices Are on Fire, but Producers Are Holding Back (3) Coronavirus Further Complicates Shell’s Giant Floating Gas Project ","(1) Today’s Top Supply Chain & Logistics News. (2) Natural gas prices have shot up 66% since late June, and speculators are betting they will keep climbing. But the companies that control the country’s spigots aren’t so sure. (3) Shell spent billions of dollars developing a floating gas terminal five football fields long. The pandemic is posing a new problem: How to get workers safely back on site to start it back up. ",3.979,1.52123312937944
2020-08-24,Blackstone Nets $5 Billion From Cheniere Stake Sale,Blackstone Group is selling a stake in liquefied natural gas exporter Cheniere Energy Partners to Brookfield Asset Management’s infrastructure arm in a deal that will provide Blackstone’s energy investing group with a gain of roughly $5 billion.,3.85,1.520477218102208
2020-08-26,U.S.’s Fuel-Making Corridor Prepares for Hurricane Laura,"Refineries, petrochemical facilities and ports along the Gulf Coast were closing as the hurricane strengthened to a Category 4 storm with 140-mile-an-hour winds barreling toward the Texas-Louisiana border.",3.908,1.5192846040658832
2020-08-27,America’s Energy Corridor Narrowly Averts Direct Hit From Laura,"Hurricane Laura appeared to narrowly miss the heart of America’s fuel-making and chemicals infrastructure along the Gulf Coast, where companies and officials were assessing damage Thursday morning.",4.058,1.5189383407232906
2020-08-31,Natural-Gas Prices Turn Lower,Prices of natural gas were dragged down by cooler-than-expected weather and reduced demand for gas-powered cooling as the end of summer approaches.,4.294,1.5185921344131306
2020-09-09,"NBA Bubble Works for Actors and Utility Workers, Too",There are lessons in the successes of quarantine bubbles like the NBA’s that could shape how some companies ramp back up as U.S. coronavirus cases continue to climb.,4.613,1.5193378877285042
2020-09-11,The New Geopolitics of Energy,Power is shifting from longtime oil giants like Russia and Saudi Arabia to innovators like China—and maybe the U.S.,4.55,1.5196441779442018
2020-09-16,U.S. Gas Exporters Eye Europe’s Surging Prices,"Natural-gas prices have surged in Europe, offering good news for exporters that invested in infrastructure for shipping it over the past decade, only to contend with a collapse in sales when the pandemic struck.",4.792,1.516821922270944
2020-09-25,PE Daily: SEC Scrutinizes SPACs | Alaska Permanent Fund’s Stock Boost | Hastings’s Co-Investment Pool,"This year, investors, including a number of private-equity folks, have been forming blank-check companies at breakneck speed. All the frenzy has attracted regulatory attention, as Dave Michaels and Alexander Osipovich reported yesterday for The Wall Street Journal. Comments by SEC Chairman Jay Clayton sparked a sharp, albeit temporary, selloff in SPAC shares yesterday. Specifically, Mr. Clayton said his agency is focused on the incentives and compensation for SPAC sponsors. We’ll see if his comments throw any cold water on this year’s SPAC fire.",4.938,1.4826533873917482
2020-09-28,"CFTC Nominee Traded Stocks, Options While in Government",President Trump’s nominee to the agency that regulates the vast derivatives market traded extensively in stocks and options during his more than three years in government.,5.074,1.480017619485433
2020-09-30,"(1) Shell to Cut Up to 9,000 Jobs (2) Oil Giant Total Pledges Renewable Power Push ","(1) Royal Dutch Shell said it would cut up to 9,000 jobs in a broad restructuring, as the energy giant grapples with the ongoing fallout of the pandemic. (2) Total SA pledged to ramp up its spending on renewable energy and reduce its dependence on petroleum, the latest move by a major oil company toward cleaner power. ",5.163,1.4755958508185738
2020-10-01,Pandemic Pain Persists for Big Oil Companies,Major oil companies signaled they remain under extreme financial pressure and oil prices slid Thursday as demand for fossil fuels rebounds slowly after being crushed by the coronavirus pandemic.,5.163,1.473498096253833
2020-10-08,Russia’s Siberian Waters See Record Ship Traffic as Ice Melt Accelerates,"The Arctic has gone through its warmest summer on record, and with the ice melting, more ships than ever are sailing along Russia’s Siberian coast, underscoring its role as a growing energy transport corridor and potential as a new ocean trade route.",5.388,1.4630142694426826
2020-10-29,"Shell Tries to Woo Investors With Dividend Raise, Promise of Future Payouts","Shell reported a small profit, raised its dividend and said it planned to increase shareholder payouts, offering an upbeat assessment of its ability to weather the pandemic-inspired demand shock that has kept oil prices weak.",7.176,1.490018421607814
2020-11-03,French Power Company Drops U.S. LNG Deal,Engie’s decision to halt negotiations with LNG exporter NextDecade follows reports of pressure from the French government over methane concerns.,6.535,1.506960006372985
2020-11-04,Cold Weather Thaws Natural-Gas Prices,Winter’s approach and a lot of working from home have lifted natural-gas prices to more than double their summer lows.,6.628,1.5117825480909717
2020-11-19,Natural Gas Heads Into Winter Looking Bloated,"Oil is the commodity with a cartel, but in the U.S., natural-gas producers are the ones showing cartel-like discipline this year. That firmness will be key as the country enters the winter with high levels of natural gas in storage.",6.401,1.5841092717711285
2020-11-26,U.K.’s Centrica Seeks to Sell Liquefied Natural Gas Portfolio,"The energy supplier is trying to sell its portfolio of LNG supply contracts and other assets, according to people familiar with the matter, as it seeks to simplify its operations amid volatile LNG prices.",7.138,1.613827304898953
2020-12-09,"Natural Gas, Propane Are Early Winners in Quest for Clean Ship Fuels",Natural gas and propane are emerging as the leading choices for fuel sources to power vessels for shipping companies moving to slash carbon emissions in their operations.,9.175,1.7814799812890814
2020-12-21,Shell Signals Another Poor Quarter for Oil Majors,"Shell said it would write down the value of its assets by up to $4.5 billion and warned of another set of poor earnings for the fourth quarter, showing how the oil-and-gas industry continues to struggle amid the fallout of the pandemic.",11.402,2.2061031267951328
2020-12-24,"Gas Is Cleaner Than Oil, But It Still Has a Transition Problem","As a relatively clean fossil fuel, natural gas will play a useful role for years to come. It is less certain that it will be a profitable one.",11.811,2.348358996978218
2021-01-11,"(1) Cold Snap Sparks Record Rise in Natural Gas Prices in Asia (2) Emerging and Growth Markets, January 9th 2021 ","(1) A blast of cold weather in northeast Asia and a shortage of ships for transporting gas have sparked a scramble for cargoes of liquefied natural gas, igniting a steep rise in prices. (2) A weekly roundup of key news affecting emerging and growth markets from the Wall Street Journal and beyond. ",28.221,3.675546384338512
2021-01-15,(1) Australia Considers Outback Quarantine Camps (2) Record Liquefied Natural Gas Prices in Asia Won’t Last ,"(1) Aggressive quarantine programs have kept the coronavirus at bay in Australia, but as contagious new Covid-19 strains threaten that success, one leader wants to house returned travelers far from cities, in Outback camps where temperatures can top 100 degrees. (2) A cold snap and a supply crunch have created a perfect storm for liquefied natural gas prices in Asia, but investors in the sector should be aware that the pendulum is likely to swing the other way soon. ",26.99,4.950068348449281
2021-01-28,Ship Operators Seek Calmer U.S. Trade Waters Under Biden,"Carrier executives say sanctions, trade turmoil under Trump undercut planning and fueled uncertainty in maritime operations.",8.477,4.99285958638422
2021-02-01,Wintry Weather Lifts Natural-Gas Prices,"Natural-gas futures are 57% higher than a year ago, when the weather was uncommonly warm, yet still about 15% below the price to start this heating season.",8.738,5.000048601488652
2021-02-10,Americans Heating Outdoor Spaces Have Fired Up Propane Prices,"Propane prices have risen more than 70% this winter thanks to an explosion in patio heating and booming exports to Asia. Prices are up more than fourfold from the March bottom, when cold-weather outdoor dining hadn’t been contemplated.",7.05,4.999257964055464
2021-02-11,"Shell Hits Its Own Peak Oil, Plans to Reduce Output","The company said it would start reducing oil production, calling an end to a decades-old strategy centered on pumping more hydrocarbons as it and other energy giants seek to capitalize on a shift to low-carbon power.",6.9,4.997000010591016
2021-02-15,Oil Prices Rally as Cold Blast Hits Texas,Frigid temperatures across swaths of the country injected new momentum into the rally in energy markets in part by threatening oil-and-gas production in Texas.,6.9,4.994686862974161
2021-02-16,Don’t Blame Wind for Texas Electricity Woes,Renewable energy and market design are easy targets during electricity failures but they are inadequate explanations.,6.349,4.991736232229696
2021-02-18,U.S. Natural Gas Shortage Hampers Blackout Recovery,Frozen oil and gas wells and pipeline infrastructure have reduced the fuel available to power plants as companies seek to restore electricity to millions this week.,6.288,4.986314024081283
2021-02-23,PE Daily: A New Enforcement Era for PE | K1 Bets on Atera Networks | Boyu Capital’s Singapore Shift,"The U.S. crossed a sobering threshold in the coronavirus pandemic yesterday, surpassing 500,000 deaths, even as the nation continues to roll out vaccinations against the virus.",6.275,4.97846700069791
2021-03-05,China’s Pursuit of Natural Gas Jolts Markets and Drains Neighbors,Beijing’s quest to run the world’s second-largest economy on cleaner energy is reshaping global trade in the fossil fuel.,5.825,4.956931158995398
2021-03-10,India’s Top Shipping Company Set to Kick Off Privatization Push,"At least five maritime operators are in talks with the Indian government to buy a majority stake in the country’s biggest shipping company, which could be among the first public entities to be sold in the country’s biggest ever privatization drive.",6.05,4.950244475295156
2021-03-25,Energy Industry Grapples With Fallout From Suez Canal Blockage,"The fallout from the Suez Canal blockage rippled through the energy industry, with the cost of renting tankers rising and shippers starting to plot alternative routes for supplies of oil and gas.",6.863,4.929176730845975
2021-03-26,"(1) Suez Canal Blockage Sends Exporters Scrambling (2) Amid Islamist Siege in Mozambique, Energy Giant Scrambles to Evacuate ","(1) Asian and European manufacturers, which rely heavily on the Suez Canal to move their products between regions, are weighing contingency plans as efforts to move a ship drag out. (2) Total and international contractors were moving staff from a $20 billion natural-gas project. ",6.813,4.926302535295579
2021-04-22,Ship Operators Move Toward LNG to Pare Emissions,Natural gas-powered vessels are becoming more popular as a halfway measure as a search continues for non-carbon-based fuels.,8.705,4.844953999810168
2021-04-23,How to Add Gas to U.S.-China Climate Cooperation,"Both the U.S. and China want to capture the renewable energy market, but on gas there is a clearer—and rare, these days—alignment of interests.",8.55,4.8395441891582855
2021-05-04,U.S. LNG Club Could Get More Exclusive,"Healthy demand growth should help U.S. LNG exporters such as Cheniere Energy, but supply additions from global giants will make it difficult for new projects to break through.",9.513,4.799658761207983
2021-05-28,Pro Bankruptcy Briefing: Manhattan Firm’s Liquidators Say Lawyer Short $17 Million in Client Funds,Liquidators say the collapse of real-estate law firm Kossoff PLLC destroyed livelihoods and left a trail of unpaid creditors behind. The liquidating trustee sifting through the defunct firm warned of a difficult case ahead.,10.313,4.735141284486469
2021-06-23,"Melting Ice Pits Russia Against U.S., China for Control of Shipping Route","The Kremlin is close to realizing its controversial plans for a global shipping route in its high north—plans that have put Moscow at odds with the U.S. and could create friction with China, two countries that also have designs on the Arctic.",12.461,4.669665083754426
2021-07-13,Record Natural Gas Prices Give Power Markets a Jolt,"A scramble for natural gas is creating pockets of scarcity in the global market, boosting prices for the fuel and for the electricity generated by burning it.",13.288,4.641307791204495
2021-07-19,Santos Has Proposal to Acquire Oil Search Rejected,The deal would have brought together two Australia-listed companies to create $16 billion energy producer.,14.262,4.6291256204643565
2021-08-12,"Frackers, Shippers Eye Natural-Gas Leaks as Climate Change Concerns Mount",The top U.S. gas producer and exporter have teamed up to track the emissions from wells that feed major shipping terminals amid growing pressure from investors and customers.,17.155,4.716254048886319
2021-08-13,Shale Pioneer Chesapeake Touts Natural Gas Again,"The company has agreed to purchase Vine Energy, positioning itself for the export market six months after exiting bankruptcy.",16.95,4.728389982994044
2021-08-27,A Fledgling Natural-Gas Exporter Has Become a Meme Stock,"Charif Souki, a pioneer of America’s shale-gas shipping industry, is connecting with young, internet-savvy investors who have taken an interest in his fledgling company",18.069,4.834780100916461
2021-09-10,Natural-Gas Market Conditions Look Unnatural,"Storage levels of the fuel look rather thin globally, while prices have surged. A cold winter in parts of the world could send prices even higher.",20.518,5.073257031849725
2021-09-13,Energy Prices in Europe Hit Records After Wind Stops Blowing,A sudden slowdown in wind-driven electricity production off the coast of the U.K. in recent weeks whipsawed through regional energy markets.,21.828,5.109742512443977
2021-09-17,"Natural-Gas Prices Surge, and Winter Is Still Months Away",The jump in prices is prompting worries about winter shortages and forecasts for the most expensive fuel since frackers flooded the market.,25.083,5.361729862270677
2021-09-20,America’s Next Hot Import Might Be Record Energy Prices,"Natural-gas, coal and electricity prices are all running abnormally high, far too early.",26.441,5.437323849820041
2021-09-22,"(1) Russia’s New Gas Pipeline to Germany Delivers More Power to Moscow (2) Europe Pumps Less Gas as Demand Rebounds, With Russia Filling the Gap ","(1) A cold winter might force European regulators to speed up the approval process for the controversial Nord Stream 2 pipeline now running between Russia and Germany. (2) Natural-gas supply shortfalls have led to record prices for the fuel and for electricity, leading to fears of a shortage and spotlighting European efforts to slash greenhouse-gas emissions. ",27.266,5.614821546471432
2021-09-30,Gas Markets Will Get Even More Exciting,"The cleaner-burning fuel is at the heart of the energy transition, but its price volatility is likely to only get worse.",34.47,6.252758702081397
2021-10-01,Winter Is Coming. Should the U.S. Hang On to Its Natural Gas?,Rising natural gas prices could put pressure on politicians to limit exports—but curbs have the potential to backfire.,33.845,6.392420087373223
2021-10-07,(1) Winter Forecast Is Cold Comfort for Natural-Gas Consumers (2) Natural-Gas Shortage Sets Off Scramble Ahead of Winter ,"(1) A closely watched forecast shows that the coming winter will be manageable for the U.S. natural-gas markets. That may not be enough to take the air out of natural-gas prices. (2) The resurgence in demand from economies bouncing back from the pandemic and other factors caught traders, shipowners and energy executives off guard. ",35.604,7.430542532174665
2021-10-08,An SEC Rule Was Meant to Protect Individual Investors. Chaos Ensued.,Thousands of stocks and bonds in the over-the-counter market are now out of reach for small investors. Professionals are still trading.,38.414,7.596336988542953
2021-10-12,Big Energy Companies’ New Pitch: ‘Carbon-Neutral’ Oil and Gas,"Some energy companies are selling oil and gas bundled with carbon offsets and marketing the products as carbon neutral, but critics say the practice could undermine the case for burning less fossil fuel.",34.002,7.819868874936145
2021-10-13,Russia Shows Its Growing Sway Over Global Energy Markets,"Russia, the world’s largest exporter of gas in the world and the source of more than a third of Europe’s gas, has emerged as a critical supplier with the power to quickly alleviate the continent’s gas deficit.",35.546,7.937229972544292
2021-10-15,Some Investors Say Bank Pledges on Arctic Drilling Contain Loopholes,Controversy over the funding of Arctic oil-and-gas drilling comes as world leaders and top financiers prepare to gather for the United Nations climate conference on curbing carbon emissions.,36.598,8.201846292135903
2021-10-22,Natural Gas Prices Drop From Recent Peak,"Natural-gas prices have shed 19% since hitting a 13-year high earlier this month, reversing some of a run-up that has prompted fears of exorbitant heating bills and higher manufacturing costs at a time of already high prices.",33.642,8.703696294029248
2021-10-26,PE Daily: Silver Lake Returns With a New Megafund | Shakeup at Blackstone’s Hedge-Fund Business | BV Investment Partners to Buy Outsourcing Company,"Even given the tech-buyout giants’ history of pushing the fundraising envelope, the latest effort from Silver Lake may come as a surprise.",34.232,8.873911186653228
2021-11-02,"China Binges on U.S. Gas to Manage Energy Shortage, Carbon Footprint","Record U.S. liquefied natural gas exports to China today are in contrast to just a couple of years ago, after the country imposed tariffs on U.S. LNG during the trade war.",26.225,9.0923172056949
2021-11-05,Natural-Gas Exports Lift Prices for U.S. Utilities Ahead of Winter,"The supply squeeze, one of the first ever since the U.S. began sending large volumes of gas abroad, means hefty heating bills for consumers.",30.306,9.161863931487582
2021-11-16,PE Daily: Spring Hill Nabs $151 Million | Bain Capital Backs Mixpanel | Tim Draper’s ESG Style | Equinox Bags $255 Million in Bridge Financing,"Today we have two reports from our Luis Garcia, who unpacks a Bain Capital investment in data analytics company Mixpanel Inc. and details fundraising efforts by another Boston firm, Spring Lane Capital, which is nearing the halfway mark in a drive to collect $400 million for a new fund.",34.469,9.45516827314148
2021-12-06,Balmy Forecasts Send Natural Gas Prices Plunging,Worries of soaring heating bills have diminished as warm weather and higher production boost supply.,33.226,10.317926167986444
2021-12-15,Energy Crisis in Europe Intensifies,"Cold weather and fear of a Russian invasion of Ukraine are sending natural gas prices into overdrive, fueling inflation and clouding economic growth.",41.382,10.773365525326865
2021-12-17,(1) U.S. Gas Exports Likely More Trickle Than Flood (2) Taiwan Voters Back Ruling Party in Referendum ,(1) Market conditions look ripe for another wave of liquefied natural gas export terminals being built in the U.S. Grabbing that opportunity will be easier said than done. (2) The vote is a setback for Beijing that removes a key obstacle to a U.S. trade deal. ,38.699,10.932365386590924
2022-01-14,PE Daily: Welsh Carson Seeks $5 Billion | Altura’s First Close | Secondary Market to See More Strip Sales,"Although the weather may be freezing, the pace of private-equity fundraising activity still seems to be red hot with Preeti Singh reporting that Welsh Carson Anderson & Stowe has returned to the fundraising trail seeking $5 billion for its newest fund offering.",27.943,11.525730284033324
2022-01-21,Germany’s Reliance on Russian Gas Limits Europe’s Options in Ukraine Crisis,Berlin is vulnerable if the West sanctions Russia over Ukraine and Moscow responds by cutting off natural-gas exports.,20.172,11.445935164874957
2022-01-27,(1) Russia Standoff Prompts Europe to Enlist U.S. Help Securing Gas (2) Natural-Gas Futures Spike in Latest Market Turmoil ,"(1) European officials are scrambling to lock down energy supplies they would need to keep their economies churning if hostilities around Ukraine imperil natural gas piped from Russia. (2) At one point, late in the trading session, February futures jumped to nearly $7.35 before crashing back down and rising again to the closing price. ",28.272,11.407130610397363
2022-01-28,"(1) Chevron Still Has Gas in Its Tank (2) Before Ukraine Standoff, U.S. Pitched Its ‘Freedom Gas’ to Europe and Found Few Takers ","(1) Chevron’s record-breaking results weren’t enough to keep up with its record-breaking share prices. With the strongest balance sheet among peers, though, it will have more flexibility to woo investors later in the year. (2) American efforts to export LNG to the continent as an alternative to Russian supplies achieved mixed results. As conflict looms, options to send more gas now are limited. ",29.678,11.406802563032729
2022-02-07,Weaning Europe Off Russian Gas Will Take Time,Pipeline diplomacy with Moscow has built an interdependence that will take years to unwind.,26.335,11.358291305782242
2022-02-09,Russia Thrived as It Integrated With the West—a New Cold War Is Unraveling That,A Ukraine invasion would trigger sweeping sanctions that cripple Russia’s few knowledge industries and push it closer to China.,24.651,11.32058003003612
2022-02-14,Why Russian Invasion Peril Is Driving Oil Prices Near $100,"Spare supplies of oil and gas are limited globally as demand rebounds faster than production, making a Russian move on Ukraine a serious geopolitical risk event.",26.701,11.249479590810507
2022-02-17,Europe’s Energy Crisis Pays Off for U.S. Natural-Gas Sellers,The U.S. became the top LNG exporter for the first time during December as falling natural-gas supplies from Russia and Ukraine tensions boosted energy prices in Europe.,24.301,11.160464069161495
2022-02-18,Can Quebec’s Dams Power New York? Blackstone Is Betting $4.5 Billion on It.,The private equity giant learned how challenging it can be to bring renewable power to the Big Apple—from hundreds of miles away.,24.171,11.128710301146665
2022-02-22,"Germany Puts Nord Stream 2 Pipeline On Hold, Raising Supply Worry",Berlin is reassessing the Russian natural-gas project despite Europe’s winter of surging prices and concern over future supplies.,25.548,11.066300435535808
2022-02-23,"(1) With Nord Stream 2 Freeze, Germany Takes First Step to Cut Russian Gas Reliance (2) Ukraine Crisis Kicks Off New Superpower Struggle Among U.S., Russia and China ","(1) Vladimir Putin’s aggression in Ukraine triggered a search for alternative gas supplies, but it could take years for Berlin to wean itself off Russian imports. (2) Beijing and Moscow now hold a stronger hand in confronting the West than during the Cold War. ",27.848,11.04019015493978
2022-02-24,"(1) Russia Attack on Ukraine Threatens European Gas Supplies (2) Russian Invasion Scrambles Prospects for Global Economy (3) As Ukraine Burns, Europe’s Energy Options Look Limited ","(1) Natural-gas prices rose around the world as Russia’s new military push against Ukraine poses another threat to Europe’s already tenuous supply of natural gas. (2) The attack on Ukraine heaps fresh risks on a global economy struggling with soaring inflation, supply-chain snarls and a rocky recovery from the pandemic. (3) Europe will be able to manage a disruption to natural-gas flow through Ukraine. If Russia starts cutting off natural gas altogether, though, there isn’t a whole lot the world can do to help. ",36.898,11.050898309105229
2022-02-25,"(1) Russia’s Energy Dominance Ties West’s Hands in Ukraine War (2) Germany to Raise Defense Spending Above 2% of GDP (3) Russia Sends Natural-Gas Tankers to Kaliningrad Outpost (4) As War Reshapes Europe, Germany Pivots on Defense, Aid ","(1) Europe gets about 40% of its natural-gas imports from Russia, making it hard to sanction a sector that is a vital source of revenue for Moscow. (2) The nation will boost defense spending and create a strategic natural-gas reserve, Chancellor Olaf Scholz said, marking a significant shift in reaction to Russia’s war in Ukraine. (3) Stationing LNG ships in the Baltic amid Ukraine fighting indicates Moscow is poised for wider disruption to European energy supplies. (4) Chancellor’s shake-up of a German foreign policy that has long relied on trade and diplomatic dialogue, while playing down the need for military strength, shows how Vladimir Putin’s war on Ukraine is sending shock waves throughout Europe. ",33.048,11.039464382098014
2022-02-28,(1) Energy Sanctions Are a Weapon Putin Would Understand (2) Consolidation Drives Private Equity’s Haynesville Shale Exits ,"(1) Sanctions on Russia announced since it invaded Ukraine have been designed to exclude commodity imports. President Biden and his allies fear the impact of comprehensive sanctions on resource markets and their economies, particularly in Europe where gas supplies are already tight. (2) A consolidation push among U.S. oil-and-gas producers is creating opportunities for private-equity firms to sell energy companies after years of slow exit activity in the industry—a trend that has been particularly visible among businesses operating in the gas-rich Haynesville Shale region in the South. ",36.874,11.04557255872754
2022-03-04,Europe Fears It Could Be Too Late to Shake Off Russian Gas Addiction,A decadeslong reliance on Moscow’s energy has left Europe unprepared if the taps are turned off.,47.297,11.412972144521865
2022-03-07,Replacing Russian Gas in Europe Will Require State Planning,"Europe’s latest energy plan, expected out this week, will likely cover a host of actions, from energy efficiency measures in transport, machines and buildings, to hydrogen and possibly even hydropower and marine energy.",84.762,12.047413267929644
2022-03-11,"(1) For Some Countries, Economic Ripples of Ukraine War Bring Windfall (2) How Europe Hopes to Wean Itself From Russian Natural Gas ","(1) Those rich in oil and gas and other commodities are expected to get a boost from soaring prices, though inflation will sting consumers and weigh on global growth. (2) Europe has managed to divert some U.S. liquefied natural gas shipments to its ports. But EU countries will likely need to sign longer-term contracts to lock in demand. ",28.603,12.143184710085126
2022-03-14,The High Cost of Europe’s Energy Security,"The European Union is expected to release another round of sanctions this week covering industries such as steel and luxury goods, but the kind of bans on Russian energy introduced by the U.S. and U.K. aren’t on the table.",29.647,12.110740946422077
2022-03-18,How the West Can Win a Global Power Struggle,"In an economic Cold War pitting China and Russia against the U.S. and its allies, one side holds most of the advantages. It just has to use them.",35.378,12.043887180174789
2022-03-21,Cash Crunch Drives Wild Moves in Commodities,"Commodity traders are being hit by huge cash requests from banks and exchanges, propelling whipsaw moves in markets and hindering the movement of materials beyond Russia and Ukraine.",32.753,12.015577936857293
2022-03-23,Many Businesses Are Quitting Russia. Big French Firms Are Staying Put.,"Some of France’s largest companies, including Renault, Societe Generale and TotalEnergies, are maintaining ties in Russia after its invasion of Ukraine.",33.841,11.957298744957669
2022-03-25,(1) Europe’s Energy Woes Are Rerouting Global LNG Flows (2) U.S. to Boost Gas Deliveries to Europe Amid Scramble for New Supplies (3) Natural-Gas Industry Gets Boost as Biden Shifts Stance ,"(1) European customers are just beginning to replace Russian pipeline gas with liquefied natural gas from the U.S. (2) The U.S. is ramping up shipments of liquefied natural gas to Europe this year as the continent hunts for new supplies around the globe to phase out its reliance on Russian energy after the invasion of Ukraine. (3) President Biden’s pledge to increase U.S. liquefied natural-gas exports to Europe marks a further retreat from his hard-line stance against fossil fuels, sending industry share prices surging. ",32.66,11.91863565614011
2022-03-30,(1) Europe Woos Qatar for an Alternative to Russian Gas (2) How High Energy Prices Could Help Both the Climate and the U.S. (3) Germany Braces for Less Gas as Russia Demands Ruble Payments (4) The LNG Export Boom is Draining U.S. Natural-Gas Supplies and Lifting Prices (5) Stocks Decline as Oil Prices Rise ,"(1) The Persian Gulf kingdom is emerging as one of the most attractive options in Europe‘s search for new sources of natural gas to replace Russian imports. (2) With Russian output shut in, U.S. producers could gain market share even as the world hastens the shift to renewables. (3) Germany’s economy minister said Berlin triggered the early-warning stage of a contingency plan to insulate the country against any possible reduction in Russian gas deliveries. (4) Overseas shipments of shale gas are replacing Russian supplies in Europe and boosting prices at home. (5) U.S. share benchmarks fell and oil prices climbed, as concerns about the war in Ukraine and rising commodity prices continued to weigh on investors. ",36.916,11.829911010509992
2022-04-01,Asian Liquefied Natural Gas Demand Is Cooling Fast,Skyrocketing natural gas prices driven by Europe are already showing signs of damaging what had been the crucial growth market for LNG: Asia.,35.998,11.78018269440086
